round,epoch,tGroup,target,outcome,probX,probY,probZ
0,0,1,0,0,0.12,0.57,0.40
0,1,1,0,0,0.14,0.65,0.26
0,2,1,0,0,0.16,0.60,0.33
0,3,1,1,0,0.24,0.49,0.26
0,4,1,0,0,0.17,0.59,0.30
0,5,0,1,0,0.22,0.51,0.24
0,6,0,1,0,0.22,0.51,0.23
0,7,0,1,0,0.22,0.55,0.22
0,8,0,1,0,0.21,0.58,0.21
0,9,0,1,0,0.20,0.64,0.21
0,10,0,1,0,0.20,0.66,0.20
0,11,1,0,0,0.16,0.71,0.24
0,12,0,1,0,0.19,0.62,0.19
0,13,0,1,0,0.20,0.67,0.18
0,14,0,1,0,0.19,0.67,0.18
0,15,1,1,0,0.22,0.69,0.17
0,16,1,0,0,0.15,0.75,0.15
0,17,1,1,0,0.22,0.66,0.17
0,18,0,1,0,0.20,0.69,0.16
0,19,0,1,0,0.18,0.71,0.16
0,20,0,1,0,0.18,0.72,0.16
0,21,0,1,0,0.19,0.75,0.15
0,22,0,1,0,0.17,0.75,0.15
0,23,0,1,0,0.18,0.75,0.15
0,24,1,0,0,0.15,0.79,0.18
0,25,0,1,0,0.18,0.74,0.14
0,26,0,1,0,0.19,0.75,0.14
0,27,1,0,0,0.15,0.79,0.12
0,28,1,0,0,0.15,0.68,0.19
0,29,0,1,0,0.22,0.70,0.13
0,30,0,1,0,0.22,0.72,0.13
0,31,0,1,0,0.21,0.75,0.13
0,32,1,2,0,0.21,0.68,0.16
0,33,0,1,0,0.18,0.71,0.14
0,34,0,1,0,0.19,0.72,0.14
0,35,1,0,0,0.16,0.77,0.12
0,36,0,1,0,0.20,0.73,0.13
0,37,1,0,0,0.17,0.74,0.16
0,38,0,1,0,0.22,0.71,0.13
0,39,0,1,0,0.19,0.70,0.13
0,40,1,0,0,0.17,0.75,0.11
0,41,1,0,0,0.20,0.71,0.15
0,42,0,1,0,0.25,0.67,0.12
0,43,0,1,0,0.24,0.69,0.12
0,44,1,1,0,0.24,0.68,0.12
0,45,1,0,0,0.20,0.72,0.15
0,46,0,1,0,0.25,0.69,0.11
0,47,0,1,0,0.24,0.69,0.11
0,48,1,0,0,0.20,0.73,0.10
0,49,1,1,0,0.24,0.65,0.12
0,50,0,1,0,0.23,0.69,0.11
0,51,1,0,0,0.19,0.64,0.16
0,52,0,1,0,0.26,0.69,0.10
0,53,0,1,0,0.25,0.71,0.10
0,54,1,0,0,0.19,0.63,0.15
0,55,1,0,0,0.21,0.59,0.15
0,56,0,1,0,0.29,0.63,0.10
0,57,1,2,0,0.27,0.59,0.13
0,58,1,1,0,0.25,0.59,0.12
0,59,0,1,0,0.26,0.65,0.11
0,60,0,1,0,0.23,0.67,0.10
0,61,1,2,0,0.20,0.69,0.10
0,62,1,0,0,0.20,0.67,0.11
0,63,0,1,0,0.26,0.61,0.11
0,64,1,0,0,0.20,0.55,0.17
0,65,0,1,0,0.27,0.63,0.11
0,66,0,1,0,0.24,0.63,0.11
0,67,1,1,0,0.24,0.63,0.12
0,68,0,1,0,0.25,0.68,0.10
0,69,0,1,0,0.24,0.69,0.10
0,70,1,0,0,0.20,0.71,0.14
0,71,0,1,0,0.25,0.68,0.10
0,72,0,1,0,0.24,0.72,0.10
0,73,1,0,0,0.19,0.62,0.15
0,74,0,1,0,0.26,0.70,0.10
0,75,0,1,0,0.25,0.71,0.09
0,76,0,1,0,0.24,0.71,0.10
0,77,0,1,0,0.21,0.72,0.09
0,78,0,1,0,0.22,0.75,0.09
0,79,1,1,0,0.24,0.73,0.09
0,80,0,1,0,0.21,0.77,0.09
0,81,0,1,0,0.20,0.78,0.09
0,82,0,1,0,0.20,0.79,0.09
0,83,0,1,0,0.19,0.80,0.09
0,84,1,0,0,0.17,0.77,0.12
0,85,1,1,0,0.23,0.75,0.09
0,86,0,1,0,0.20,0.79,0.09
0,87,1,0,0,0.16,0.68,0.14
0,88,0,1,0,0.21,0.77,0.08
0,89,0,1,0,0.21,0.76,0.09
0,90,0,1,0,0.20,0.77,0.08
0,91,0,1,0,0.19,0.79,0.08
0,92,1,1,0,0.18,0.75,0.09
0,93,0,1,0,0.19,0.79,0.08
0,94,1,1,0,0.19,0.79,0.08
0,95,1,0,0,0.14,0.71,0.13
0,96,0,1,0,0.18,0.77,0.08
0,97,0,1,0,0.19,0.80,0.08
0,98,0,1,0,0.17,0.79,0.08
0,99,1,1,0,0.21,0.79,0.08
0,100,1,0,0,0.15,0.79,0.11
0,101,1,0,0,0.16,0.68,0.12
0,102,1,0,0,0.17,0.64,0.12
0,103,1,0,0,0.20,0.70,0.10
0,104,1,0,0,0.22,0.69,0.07
0,105,0,1,0,0.26,0.65,0.07
0,106,1,0,0,0.25,0.64,0.10
0,107,1,2,0,0.29,0.55,0.11
0,108,1,0,0,0.25,0.60,0.08
0,109,1,0,0,0.28,0.54,0.11
0,110,1,0,0,0.31,0.52,0.08
0,111,0,1,0,0.38,0.52,0.07
0,112,0,1,0,0.34,0.52,0.08
0,113,0,1,0,0.34,0.59,0.07
0,114,0,1,0,0.30,0.59,0.08
0,115,1,0,0,0.28,0.61,0.07
0,116,1,0,0,0.31,0.56,0.07
0,117,0,1,0,0.37,0.57,0.07
0,118,0,1,0,0.33,0.57,0.07
0,119,0,1,0,0.34,0.61,0.07
0,120,0,1,0,0.32,0.66,0.07
0,121,0,1,0,0.30,0.66,0.07
0,122,0,1,0,0.29,0.70,0.07
0,123,1,1,0,0.31,0.68,0.07
0,124,1,1,0,0.25,0.67,0.08
0,125,1,0,0,0.21,0.60,0.12
0,126,0,1,0,0.26,0.69,0.07
0,127,1,2,0,0.23,0.67,0.07
0,128,1,2,0,0.22,0.62,0.08
0,129,0,1,0,0.25,0.63,0.08
0,130,1,1,0,0.23,0.62,0.09
0,131,1,1,0,0.22,0.64,0.09
0,132,1,0,0,0.21,0.66,0.08
0,133,0,1,0,0.25,0.67,0.08
0,134,0,1,0,0.24,0.71,0.08
0,135,1,2,0,0.23,0.60,0.12
0,136,0,1,0,0.22,0.69,0.08
0,137,0,1,0,0.22,0.69,0.09
0,138,1,0,0,0.20,0.65,0.12
0,139,1,0,0,0.23,0.60,0.11
0,140,1,2,0,0.25,0.52,0.12
0,141,1,2,0,0.24,0.48,0.14
0,142,1,0,0,0.22,0.51,0.14
0,143,0,1,0,0.26,0.53,0.10
0,144,0,1,0,0.25,0.59,0.09
0,145,1,0,0,0.24,0.55,0.10
0,146,0,1,0,0.27,0.59,0.09
