round,epoch,tGroup,target,outcome,probX,probY,probZ
0,0,0,1,0,0.89,0.07,0.67
0,1,0,1,0,0.88,0.07,0.62
0,2,1,2,0,0.79,0.07,0.57
0,3,0,1,0,0.84,0.08,0.66
0,4,0,1,0,0.81,0.09,0.55
0,5,0,1,0,0.78,0.11,0.58
0,6,0,1,0,0.74,0.11,0.45
0,7,1,2,0,0.60,0.10,0.51
0,8,1,2,0,0.52,0.11,0.46
0,9,0,1,0,0.60,0.13,0.58
0,10,1,0,0,0.49,0.15,0.57
0,11,0,1,0,0.58,0.14,0.45
0,12,1,2,0,0.41,0.14,0.37
0,13,1,2,0,0.40,0.15,0.56
0,14,1,0,0,0.40,0.16,0.50
0,15,0,1,0,0.51,0.15,0.46
0,16,0,1,0,0.46,0.18,0.36
0,17,1,2,0,0.32,0.17,0.44
0,18,1,1,0,0.34,0.22,0.40
0,19,0,1,0,0.35,0.25,0.40
0,20,1,2,0,0.25,0.23,0.43
0,21,1,0,0,0.27,0.28,0.41
0,22,1,0,0,0.31,0.35,0.47
0,23,0,1,0,0.42,0.24,0.37
0,24,0,1,0,0.37,0.28,0.31
0,25,0,1,0,0.34,0.33,0.25
0,26,1,0,0,0.27,0.48,0.36
0,27,1,2,0,0.26,0.29,0.23
0,28,1,1,0,0.30,0.33,0.26
0,29,0,1,0,0.32,0.37,0.24
0,30,1,0,0,0.26,0.53,0.34
0,31,1,2,0,0.33,0.32,0.35
0,32,1,0,0,0.29,0.34,0.28
0,33,0,1,0,0.37,0.33,0.23
0,34,1,1,0,0.30,0.40,0.23
0,35,0,1,0,0.32,0.44,0.27
0,36,1,2,0,0.22,0.40,0.29
0,37,0,1,0,0.28,0.46,0.27
0,38,0,1,0,0.26,0.52,0.25
0,39,0,1,0,0.25,0.57,0.27
0,40,0,1,0,0.22,0.61,0.22
0,41,0,1,0,0.21,0.64,0.21
0,42,1,0,0,0.20,0.63,0.26
0,43,0,1,0,0.25,0.62,0.22
0,44,0,1,0,0.23,0.65,0.16
0,45,1,2,0,0.22,0.63,0.29
0,46,0,1,0,0.21,0.63,0.18
0,47,0,1,0,0.21,0.66,0.24
0,48,0,1,0,0.18,0.69,0.20
0,49,1,2,0,0.14,0.61,0.25
0,50,0,1,0,0.18,0.67,0.22
0,51,1,2,0,0.17,0.60,0.33
0,52,1,1,0,0.14,0.66,0.23
0,53,0,1,0,0.17,0.67,0.27
0,54,0,1,0,0.16,0.70,0.19
0,55,1,2,0,0.11,0.64,0.21
0,56,1,0,0,0.14,0.65,0.25
0,57,0,1,0,0.17,0.62,0.24
0,58,0,1,0,0.17,0.65,0.23
0,59,0,1,0,0.17,0.68,0.25
0,60,0,1,0,0.16,0.70,0.17
0,61,1,0,0,0.14,0.78,0.27
0,62,0,1,0,0.17,0.68,0.16
0,63,1,2,0,0.13,0.59,0.25
0,64,0,1,0,0.17,0.66,0.24
0,65,0,1,0,0.16,0.69,0.20
0,66,0,1,0,0.16,0.71,0.17
0,67,0,1,0,0.15,0.73,0.19
0,68,0,1,0,0.14,0.75,0.18
0,69,0,1,0,0.14,0.76,0.18
0,70,0,1,0,0.14,0.77,0.15
0,71,1,0,0,0.14,0.72,0.22
0,72,1,2,0,0.11,0.65,0.16
0,73,1,1,0,0.13,0.70,0.16
0,74,1,0,0,0.16,0.64,0.23
0,75,1,2,0,0.15,0.57,0.26
0,76,0,1,0,0.18,0.61,0.23
0,77,0,1,0,0.17,0.65,0.16
0,78,0,1,0,0.17,0.68,0.21
0,79,0,1,0,0.15,0.71,0.15
0,80,1,2,0,0.11,0.63,0.17
0,81,1,2,0,0.16,0.60,0.32
0,82,0,1,0,0.15,0.63,0.20
0,83,0,1,0,0.14,0.66,0.23
0,84,1,2,0,0.11,0.55,0.29
0,85,0,1,0,0.14,0.64,0.25
0,86,0,1,0,0.13,0.68,0.24
0,87,1,0,0,0.14,0.61,0.30
0,88,1,1,0,0.13,0.65,0.19
0,89,0,1,0,0.15,0.68,0.17
0,90,1,2,0,0.15,0.57,0.33
0,91,0,1,0,0.14,0.66,0.23
0,92,0,1,0,0.14,0.68,0.26
0,93,1,2,0,0.14,0.57,0.34
0,94,0,1,0,0.13,0.67,0.21
0,95,1,0,0,0.12,0.64,0.24
0,96,0,1,0,0.14,0.64,0.23
0,97,0,1,0,0.14,0.67,0.18
0,98,0,1,0,0.15,0.69,0.24
0,99,0,1,0,0.13,0.72,0.20
0,100,1,2,0,0.15,0.64,0.33
0,101,1,1,0,0.11,0.69,0.21
0,102,1,0,0,0.12,0.66,0.22
0,103,1,2,0,0.12,0.50,0.29
0,104,0,1,0,0.14,0.62,0.21
0,105,1,0,0,0.16,0.53,0.31
0,106,0,1,0,0.16,0.60,0.22
0,107,1,0,0,0.15,0.68,0.29
0,108,0,1,0,0.18,0.58,0.19
0,109,1,0,0,0.17,0.66,0.26
0,110,0,1,0,0.20,0.57,0.15
0,111,1,0,0,0.19,0.64,0.24
0,112,0,1,0,0.24,0.53,0.19
0,113,1,2,0,0.23,0.43,0.28
0,114,1,0,0,0.20,0.58,0.26
0,115,0,1,0,0.25,0.49,0.21
0,116,1,2,0,0.20,0.40,0.28
0,117,1,2,0,0.24,0.35,0.35
0,118,1,1,0,0.19,0.48,0.22
0,119,0,1,0,0.20,0.53,0.23
0,120,1,2,0,0.22,0.46,0.38
0,121,1,0,0,0.18,0.56,0.35
0,122,1,2,0,0.20,0.33,0.37
0,123,1,2,0,0.18,0.29,0.38
0,124,1,2,0,0.15,0.32,0.32
0,125,1,1,0,0.18,0.40,0.34
0,126,1,0,0,0.19,0.38,0.35
0,127,0,1,0,0.22,0.43,0.31
0,128,0,1,0,0.21,0.49,0.29
0,129,0,1,0,0.21,0.53,0.31
0,130,1,2,0,0.16,0.40,0.37
0,131,0,1,0,0.20,0.54,0.34
0,132,1,2,0,0.20,0.41,0.46
0,133,1,2,0,0.20,0.42,0.51
0,134,1,2,0,0.19,0.38,0.55
0,135,0,1,0,0.16,0.50,0.33
0,136,1,0,0,0.16,0.55,0.47
0,137,1,2,0,0.14,0.35,0.33
0,138,1,2,0,0.15,0.28,0.51
0,139,1,1,0,0.16,0.43,0.39
0,140,1,0,0,0.17,0.40,0.39
0,141,0,1,0,0.19,0.47,0.29
0,142,0,1,0,0.20,0.49,0.37
0,143,1,0,0,0.21,0.38,0.40
0,144,1,0,0,0.22,0.52,0.37
0,145,1,2,0,0.28,0.33,0.44
0,146,0,1,0,0.23,0.46,0.24
0,147,0,1,0,0.22,0.51,0.23
0,148,0,1,0,0.21,0.56,0.22
0,149,1,2,0,0.19,0.39,0.42
0,150,1,0,0,0.20,0.45,0.30
0,151,0,1,0,0.24,0.50,0.31
0,152,1,0,0,0.26,0.37,0.34
0,153,0,1,0,0.25,0.54,0.19
0,154,0,1,0,0.25,0.56,0.26
0,155,0,1,0,0.24,0.60,0.24
0,156,0,1,0,0.21,0.66,0.16
0,157,0,1,0,0.20,0.69,0.16
0,158,0,1,0,0.21,0.69,0.22
0,159,1,2,0,0.18,0.52,0.33
0,160,0,1,0,0.18,0.68,0.21
0,161,1,2,0,0.20,0.48,0.40
0,162,0,1,0,0.18,0.66,0.28
0,163,1,2,0,0.20,0.52,0.43
0,164,1,0,0,0.17,0.54,0.28
0,165,1,2,0,0.21,0.37,0.46
0,166,1,0,0,0.19,0.54,0.39
0,167,1,2,0,0.21,0.30,0.45
0,168,0,1,0,0.20,0.51,0.24
0,169,1,2,0,0.15,0.39,0.30
0,170,0,1,0,0.19,0.50,0.33
0,171,1,0,0,0.20,0.43,0.32
0,172,1,0,0,0.27,0.30,0.39
0,173,0,1,0,0.27,0.48,0.30
0,174,1,2,0,0.28,0.35,0.46
0,175,0,1,0,0.22,0.50,0.27
0,176,0,1,0,0.21,0.56,0.26
0,177,0,1,0,0.21,0.60,0.28
0,178,0,1,0,0.20,0.64,0.26
0,179,1,1,0,0.17,0.65,0.20
0,180,1,0,0,0.19,0.58,0.22
0,181,0,1,0,0.22,0.64,0.23
0,182,1,0,0,0.22,0.55,0.20
0,183,1,2,0,0.27,0.38,0.39
0,184,1,0,0,0.25,0.56,0.31
0,185,1,0,0,0.29,0.40,0.21
0,186,1,2,0,0.35,0.27,0.41
0,187,0,1,0,0.28,0.51,0.18
0,188,1,2,0,0.31,0.33,0.45
0,189,1,2,0,0.29,0.27,0.50
0,190,1,2,0,0.18,0.33,0.32
0,191,1,0,0,0.30,0.24,0.46
0,192,1,2,0,0.25,0.22,0.47
0,193,1,2,0,0.30,0.25,0.60
0,194,1,0,0,0.27,0.36,0.50
0,195,0,1,0,0.29,0.37,0.33
0,196,0,1,0,0.27,0.43,0.30
0,197,0,1,0,0.25,0.49,0.28
0,198,1,1,0,0.22,0.52,0.25
0,199,0,1,0,0.23,0.59,0.29
0,200,1,2,0,0.22,0.37,0.45
0,201,1,0,0,0.23,0.45,0.29
0,202,1,0,0,0.27,0.50,0.37
0,203,1,2,0,0.33,0.30,0.49
0,204,0,1,0,0.27,0.48,0.31
0,205,1,2,0,0.25,0.28,0.47
0,206,1,2,0,0.18,0.34,0.32
0,207,0,1,0,0.22,0.52,0.27
0,208,1,0,0,0.25,0.37,0.34
0,209,0,1,0,0.27,0.49,0.33
0,210,1,2,0,0.28,0.33,0.54
0,211,1,1,0,0.21,0.49,0.28
0,212,0,1,0,0.22,0.58,0.28
0,213,1,0,0,0.28,0.35,0.39
0,214,1,0,0,0.33,0.31,0.35
0,215,1,2,0,0.30,0.28,0.44
0,216,1,2,0,0.21,0.36,0.30
0,217,0,1,0,0.27,0.50,0.34
0,218,1,2,0,0.28,0.28,0.56
0,219,0,1,0,0.24,0.53,0.35
0,220,1,2,0,0.26,0.34,0.57
0,221,0,1,0,0.21,0.56,0.31
0,222,0,1,0,0.20,0.60,0.33
0,223,1,2,0,0.14,0.44,0.32
0,224,0,1,0,0.17,0.63,0.25
0,225,0,1,0,0.18,0.63,0.29
0,226,0,1,0,0.16,0.69,0.22
0,227,1,2,0,0.15,0.40,0.46
0,228,1,1,0,0.15,0.62,0.29
0,229,0,1,0,0.15,0.72,0.23
0,230,0,1,0,0.15,0.71,0.27
0,231,0,1,0,0.14,0.75,0.20
0,232,1,2,0,0.18,0.43,0.54
0,233,1,2,0,0.18,0.45,0.58
0,234,0,1,0,0.13,0.71,0.25
0,235,1,2,0,0.17,0.43,0.60
0,236,1,0,0,0.16,0.58,0.46
0,237,1,0,0,0.19,0.52,0.42
0,238,0,1,0,0.17,0.60,0.20
0,239,0,1,0,0.16,0.63,0.20
0,240,0,1,0,0.17,0.62,0.28
0,241,1,2,0,0.18,0.34,0.48
0,242,1,2,0,0.15,0.33,0.47
0,243,1,0,0,0.19,0.51,0.43
0,244,0,1,0,0.18,0.56,0.26
0,245,0,1,0,0.18,0.60,0.24
0,246,1,0,0,0.25,0.32,0.38
0,247,1,2,0,0.25,0.33,0.52
0,248,1,2,0,0.18,0.28,0.47
0,249,0,1,0,0.19,0.56,0.33
0,250,0,1,0,0.18,0.61,0.30
0,251,1,2,0,0.22,0.35,0.56
0,252,1,0,0,0.20,0.42,0.30
0,253,0,1,0,0.18,0.62,0.20
0,254,1,2,0,0.14,0.39,0.31
0,255,1,1,0,0.17,0.54,0.27
0,256,1,0,0,0.27,0.29,0.42
0,257,1,1,0,0.20,0.56,0.23
0,258,0,1,0,0.20,0.64,0.22
0,259,1,1,0,0.18,0.64,0.21
0,260,0,1,0,0.19,0.70,0.24
0,261,1,0,0,0.22,0.62,0.31
0,262,0,1,0,0.22,0.67,0.21
0,263,1,0,0,0.25,0.59,0.28
0,264,1,2,0,0.23,0.31,0.36
0,265,1,2,0,0.26,0.27,0.47
0,266,0,1,0,0.22,0.60,0.22
0,267,1,2,0,0.26,0.33,0.55
0,268,1,0,0,0.25,0.40,0.28
0,269,1,1,0,0.22,0.53,0.22
0,270,1,2,0,0.28,0.31,0.56
0,271,1,2,0,0.26,0.24,0.60
0,272,0,1,0,0.19,0.63,0.21
0,273,1,2,0,0.22,0.25,0.58
0,274,1,0,0,0.24,0.38,0.34
0,275,0,1,0,0.22,0.56,0.26
0,276,0,1,0,0.21,0.61,0.25
0,277,1,0,0,0.31,0.28,0.40
0,278,0,1,0,0.24,0.61,0.25
0,279,1,2,0,0.28,0.33,0.55
0,280,1,2,0,0.16,0.39,0.31
0,281,1,2,0,0.26,0.22,0.65
0,282,1,2,0,0.25,0.26,0.67
0,283,1,1,0,0.18,0.52,0.30
0,284,0,1,0,0.18,0.62,0.29
0,285,1,2,0,0.20,0.26,0.61
0,286,0,1,0,0.17,0.62,0.35
0,287,1,2,0,0.20,0.26,0.66
0,288,0,1,0,0.15,0.65,0.29
0,289,1,2,0,0.19,0.33,0.66
0,290,0,1,0,0.13,0.70,0.23
0,291,1,2,0,0.14,0.30,0.57
0,292,0,1,0,0.13,0.70,0.25
0,293,0,1,0,0.14,0.68,0.30
0,294,1,0,0,0.17,0.56,0.44
0,295,0,1,0,0.16,0.66,0.24
0,296,1,2,0,0.15,0.30,0.52
0,297,0,1,0,0.15,0.65,0.32
0,298,0,1,0,0.13,0.73,0.19
0,299,1,0,0,0.19,0.48,0.29
0,300,0,1,0,0.17,0.67,0.22
0,301,0,1,0,0.16,0.70,0.21
0,302,1,2,0,0.16,0.32,0.49
0,303,0,1,0,0.16,0.68,0.28
0,304,1,2,0,0.15,0.32,0.52
0,305,0,1,0,0.15,0.70,0.25
0,306,0,1,0,0.13,0.76,0.18
0,307,0,1,0,0.14,0.74,0.22
0,308,1,0,0,0.18,0.52,0.27
0,309,1,2,0,0.16,0.30,0.51
0,310,0,1,0,0.16,0.67,0.29
0,311,0,1,0,0.15,0.72,0.22
0,312,0,1,0,0.14,0.77,0.16
0,313,0,1,0,0.13,0.78,0.15
0,314,0,1,0,0.13,0.79,0.15
0,315,1,2,0,0.18,0.32,0.60
0,316,0,1,0,0.14,0.74,0.26
0,317,1,1,0,0.12,0.72,0.20
0,318,0,1,0,0.12,0.81,0.15
0,319,0,1,0,0.12,0.82,0.14
0,320,0,1,0,0.12,0.80,0.18
0,321,1,2,0,0.16,0.43,0.58
0,322,0,1,0,0.12,0.78,0.20
0,323,1,0,0,0.16,0.65,0.34
0,324,1,0,0,0.19,0.50,0.23
0,325,0,1,0,0.15,0.75,0.13
0,326,1,2,0,0.21,0.32,0.57
0,327,1,2,0,0.20,0.29,0.61
0,328,0,1,0,0.15,0.66,0.26
0,329,0,1,0,0.13,0.75,0.15
0,330,1,0,0,0.19,0.54,0.35
0,331,0,1,0,0.17,0.66,0.22
0,332,0,1,0,0.16,0.69,0.21
0,333,1,2,0,0.16,0.29,0.46
0,334,0,1,0,0.15,0.69,0.23
0,335,0,1,0,0.15,0.72,0.22
0,336,0,1,0,0.14,0.75,0.17
0,337,1,2,0,0.19,0.35,0.58
0,338,1,2,0,0.18,0.31,0.62
0,339,0,1,0,0.13,0.71,0.25
0,340,1,0,0,0.18,0.55,0.36
0,341,0,1,0,0.15,0.68,0.21
0,342,0,1,0,0.15,0.71,0.20
0,343,0,1,0,0.14,0.73,0.19
0,344,1,2,0,0.17,0.28,0.52
0,345,1,0,0,0.19,0.46,0.24
0,346,0,1,0,0.16,0.70,0.17
0,347,0,1,0,0.14,0.77,0.12
0,348,1,2,0,0.19,0.25,0.55
0,349,1,2,0,0.20,0.28,0.64
0,350,0,1,0,0.13,0.75,0.15
0,351,1,0,0,0.25,0.26,0.43
0,352,0,1,0,0.17,0.69,0.21
0,353,0,1,0,0.16,0.72,0.16
0,354,1,0,0,0.28,0.28,0.36
0,355,0,1,0,0.17,0.77,0.11
0,356,0,1,0,0.16,0.78,0.10
0,357,1,0,0,0.25,0.54,0.28
0,358,1,1,0,0.20,0.64,0.14
0,359,1,2,0,0.27,0.28,0.55
0,360,0,1,0,0.17,0.76,0.11
0,361,0,1,0,0.16,0.78,0.11
0,362,1,1,0,0.17,0.68,0.15
0,363,1,0,0,0.32,0.29,0.33
0,364,1,0,0,0.30,0.45,0.18
0,365,1,2,0,0.19,0.40,0.23
0,366,0,1,0,0.24,0.66,0.18
0,367,0,1,0,0.23,0.69,0.18
0,368,0,1,0,0.22,0.72,0.14
0,369,0,1,0,0.21,0.74,0.13
0,370,0,1,0,0.20,0.76,0.13
0,371,1,1,0,0.18,0.72,0.13
0,372,1,2,0,0.14,0.49,0.23
0,373,1,2,0,0.24,0.24,0.55
0,374,1,2,0,0.23,0.27,0.64
0,375,1,2,0,0.13,0.40,0.34
0,376,1,2,0,0.22,0.18,0.68
0,377,1,2,0,0.17,0.20,0.65
0,378,1,0,0,0.23,0.34,0.37
0,379,1,0,0,0.35,0.17,0.51
0,380,0,1,0,0.21,0.62,0.26
0,381,0,1,0,0.20,0.66,0.24
0,382,1,2,0,0.26,0.18,0.63
0,383,0,1,0,0.18,0.69,0.20
0,384,1,2,0,0.24,0.24,0.69
0,385,0,1,0,0.17,0.70,0.21
0,386,0,1,0,0.14,0.77,0.15
0,387,0,1,0,0.14,0.79,0.14
0,388,0,1,0,0.14,0.80,0.14
0,389,0,1,0,0.13,0.80,0.14
0,390,0,1,0,0.13,0.81,0.13
0,391,0,1,0,0.13,0.82,0.13
0,392,0,1,0,0.14,0.78,0.17
0,393,1,0,0,0.21,0.57,0.34
0,394,1,0,0,0.25,0.51,0.32
0,395,0,1,0,0.20,0.71,0.14
0,396,0,1,0,0.17,0.78,0.10
0,397,0,1,0,0.18,0.74,0.14
0,398,0,1,0,0.18,0.76,0.13
0,399,0,1,0,0.17,0.77,0.16
0,400,1,0,0,0.26,0.55,0.27
0,401,0,1,0,0.20,0.74,0.12
0,402,0,1,0,0.17,0.81,0.08
0,403,1,2,0,0.26,0.27,0.56
0,404,0,1,0,0.17,0.75,0.16
0,405,0,1,0,0.17,0.76,0.16
0,406,1,2,0,0.13,0.44,0.26
0,407,1,2,0,0.23,0.19,0.65
0,408,1,2,0,0.22,0.23,0.67
0,409,0,1,0,0.13,0.78,0.13
0,410,0,1,0,0.14,0.73,0.22
0,411,1,1,0,0.14,0.69,0.18
0,412,0,1,0,0.12,0.82,0.12
0,413,1,0,0,0.22,0.46,0.23
0,414,0,1,0,0.16,0.75,0.15
0,415,0,1,0,0.15,0.76,0.18
0,416,1,1,0,0.15,0.71,0.15
0,417,0,1,0,0.13,0.84,0.10
0,418,0,1,0,0.13,0.84,0.10
0,419,1,2,0,0.16,0.29,0.51
0,420,1,2,0,0.11,0.44,0.33
0,421,1,2,0,0.16,0.23,0.62
0,422,1,2,0,0.11,0.37,0.42
0,423,1,2,0,0.11,0.33,0.48
0,424,1,2,0,0.19,0.18,0.81
0,425,0,1,0,0.11,0.75,0.22
0,426,1,1,0,0.12,0.62,0.30
0,427,1,0,0,0.20,0.45,0.50
0,428,0,1,0,0.13,0.76,0.17
0,429,0,1,0,0.12,0.77,0.16
0,430,1,2,0,0.21,0.15,0.76
0,431,1,2,0,0.20,0.20,0.76
0,432,0,1,0,0.13,0.70,0.29
0,433,1,2,0,0.19,0.16,0.72
0,434,1,2,0,0.18,0.16,0.74
0,435,0,1,0,0.12,0.71,0.30
0,436,1,2,0,0.17,0.21,0.77
0,437,0,1,0,0.11,0.73,0.23
0,438,1,2,0,0.09,0.35,0.47
0,439,0,1,0,0.10,0.78,0.19
0,440,0,1,0,0.11,0.73,0.30
0,441,1,0,0,0.25,0.20,0.55
0,442,0,1,0,0.13,0.74,0.24
0,443,0,1,0,0.13,0.76,0.18
0,444,0,1,0,0.12,0.77,0.22
0,445,0,1,0,0.12,0.79,0.20
0,446,1,2,0,0.10,0.40,0.39
0,447,1,0,0,0.20,0.41,0.30
0,448,0,1,0,0.12,0.80,0.13
0,449,0,1,0,0.12,0.81,0.13
0,450,0,1,0,0.12,0.82,0.12
0,451,0,1,0,0.12,0.82,0.12
0,452,1,2,0,0.20,0.17,0.73
0,453,1,2,0,0.19,0.17,0.75
0,454,0,1,0,0.12,0.76,0.23
0,455,0,1,0,0.12,0.77,0.21
0,456,0,1,0,0.12,0.79,0.17
0,457,0,1,0,0.12,0.80,0.16
0,458,1,1,0,0.11,0.74,0.17
0,459,1,2,0,0.17,0.22,0.65
0,460,1,2,0,0.09,0.40,0.42
0,461,0,1,0,0.11,0.79,0.20
0,462,1,0,0,0.25,0.22,0.50
0,463,0,1,0,0.13,0.79,0.16
0,464,0,1,0,0.11,0.85,0.11
0,465,1,2,0,0.19,0.20,0.67
0,466,1,2,0,0.18,0.17,0.75
0,467,1,0,0,0.20,0.42,0.29
0,468,0,1,0,0.12,0.82,0.12
0,469,1,2,0,0.20,0.16,0.69
0,470,0,1,0,0.11,0.82,0.13
0,471,1,0,0,0.22,0.38,0.29
0,472,0,1,0,0.15,0.73,0.20
0,473,0,1,0,0.13,0.82,0.11
0,474,1,1,0,0.15,0.69,0.17
0,475,1,0,0,0.24,0.48,0.34
0,476,1,1,0,0.17,0.67,0.15
0,477,1,2,0,0.24,0.15,0.70
0,478,0,1,0,0.15,0.76,0.18
0,479,1,0,0,0.35,0.19,0.41
0,480,0,1,0,0.18,0.77,0.15
0,481,0,1,0,0.15,0.84,0.08
0,482,1,2,0,0.21,0.20,0.56
0,483,0,1,0,0.17,0.79,0.13
0,484,1,2,0,0.13,0.35,0.37
0,485,1,0,0,0.37,0.18,0.45
0,486,1,0,0,0.33,0.36,0.23
0,487,1,2,0,0.32,0.17,0.69
0,488,1,2,0,0.31,0.12,0.67
0,489,1,2,0,0.23,0.14,0.65
0,490,1,0,0,0.32,0.37,0.39
0,491,1,2,0,0.19,0.23,0.43
0,492,1,0,0,0.48,0.11,0.50
0,493,0,1,0,0.22,0.75,0.11
0,494,0,1,0,0.24,0.69,0.15
0,495,1,2,0,0.32,0.11,0.75
0,496,0,1,0,0.21,0.71,0.16
0,497,1,2,0,0.30,0.12,0.69
0,498,1,2,0,0.26,0.15,0.76
0,499,0,1,0,0.18,0.72,0.17
0,500,1,2,0,0.24,0.16,0.76
0,501,0,1,0,0.16,0.73,0.22
0,502,0,1,0,0.15,0.75,0.21
0,503,0,1,0,0.15,0.77,0.16
0,504,0,1,0,0.14,0.78,0.19
0,505,1,0,0,0.26,0.47,0.35
0,506,1,2,0,0.26,0.13,0.67
0,507,0,1,0,0.14,0.82,0.10
0,508,0,1,0,0.16,0.77,0.14
0,509,0,1,0,0.16,0.78,0.14
0,510,1,0,0,0.38,0.17,0.42
0,511,1,1,0,0.18,0.70,0.14
0,512,1,1,0,0.17,0.72,0.13
0,513,1,2,0,0.24,0.21,0.68
0,514,1,2,0,0.24,0.16,0.66
0,515,1,0,0,0.28,0.38,0.24
0,516,0,1,0,0.16,0.83,0.09
0,517,1,1,0,0.18,0.70,0.15
0,518,1,2,0,0.14,0.32,0.40
0,519,0,1,0,0.17,0.78,0.15
0,520,1,0,0,0.41,0.17,0.44
0,521,0,1,0,0.16,0.84,0.09
0,522,1,0,0,0.34,0.44,0.31
0,523,0,1,0,0.22,0.75,0.15
0,524,1,2,0,0.31,0.12,0.71
0,525,0,1,0,0.17,0.83,0.08
0,526,1,2,0,0.30,0.13,0.66
0,527,1,2,0,0.28,0.13,0.69
0,528,0,1,0,0.17,0.77,0.14
0,529,0,1,0,0.14,0.84,0.10
0,530,0,1,0,0.14,0.84,0.10
0,531,1,2,0,0.23,0.18,0.75
0,532,0,1,0,0.15,0.79,0.14
0,533,1,1,0,0.15,0.72,0.16
0,534,1,2,0,0.21,0.19,0.75
0,535,0,1,0,0.13,0.80,0.18
0,536,0,1,0,0.13,0.82,0.14
0,537,0,1,0,0.13,0.83,0.13
0,538,1,2,0,0.16,0.19,0.66
0,539,0,1,0,0.12,0.82,0.18
0,540,1,0,0,0.23,0.49,0.35
0,541,1,2,0,0.22,0.17,0.74
0,542,0,1,0,0.14,0.79,0.13
0,543,0,1,0,0.12,0.85,0.09
0,544,1,2,0,0.20,0.18,0.75
0,545,1,2,0,0.20,0.12,0.78
0,546,0,1,0,0.13,0.80,0.14
0,547,1,2,0,0.10,0.31,0.46
0,548,1,2,0,0.19,0.11,0.82
0,549,1,2,0,0.15,0.14,0.74
0,550,0,1,0,0.12,0.78,0.18
0,551,0,1,0,0.11,0.78,0.22
0,552,1,2,0,0.18,0.13,0.77
0,553,1,0,0,0.31,0.15,0.52
0,554,1,2,0,0.16,0.15,0.71
0,555,0,1,0,0.12,0.78,0.20
0,556,0,1,0,0.10,0.85,0.11
0,557,0,1,0,0.12,0.80,0.19
0,558,0,1,0,0.10,0.87,0.10
0,559,1,2,0,0.18,0.18,0.78
0,560,0,1,0,0.10,0.86,0.10
0,561,0,1,0,0.11,0.82,0.14
0,562,0,1,0,0.11,0.83,0.14
0,563,0,1,0,0.09,0.88,0.10
0,564,0,1,0,0.10,0.83,0.17
0,565,0,1,0,0.09,0.88,0.09
0,566,1,0,0,0.32,0.19,0.43
