round,epoch,layer,neuron,type,weight,value
0,500,0,0,N,0,0.23283391091209965
0,500,0,0,N,1,-0.1999981267139658
0,500,0,0,N,2,0.08627779465044413
0,500,0,0,N,3,-0.49219798665202336
0,500,0,0,N,4,0.3901498986808832
0,500,0,0,N,5,0.37591606803104294
0,500,0,0,N,6,-0.8196163234003276
0,500,0,0,N,7,-0.9156737378564846
0,500,0,0,N,8,-0.20960593706630226
0,500,0,0,N,9,0.6853062680160362
0,500,0,0,N,10,0.4454402383335621
0,500,0,0,N,11,0.441209769409178
0,500,0,0,N,12,-0.1271309573840135
0,500,0,0,N,13,0.46522031561669736
0,500,0,0,N,14,0.4991817599132164
0,500,0,0,N,15,-0.5375083020432656
0,500,0,0,N,16,-0.16841122304096715
0,500,0,0,N,17,0.26244291082835697
0,500,0,0,N,18,0.5369137915772414
0,500,0,0,N,19,0.5003034796011482
0,500,0,0,N,20,-0.3299873391355774
0,500,0,0,N,21,0.6143838613125648
0,500,0,0,N,22,0.4614610387638349
0,500,0,0,N,23,0.046854760237507564
0,500,0,0,N,24,0.7829516657089408
0,500,0,0,N,25,0.8195254538545435
0,500,0,0,N,26,0.028759380625754158
0,500,0,0,N,27,-0.3040700848033445
0,500,0,0,N,28,0.5049868854920306
0,500,0,0,N,29,0.05694903504089684
0,500,0,0,N,30,0.5190067983219369
0,500,0,0,N,31,-0.2560622432257694
0,500,0,0,N,32,0.7225657232533559
0,500,0,0,N,33,0.07033145880601255
0,500,0,0,N,34,0.43971243780110925
0,500,0,0,N,35,0.2657689637288558
0,500,0,0,N,36,-0.10925895803607776
0,500,0,0,N,37,-0.3506649316652024
0,500,0,0,N,38,-0.4821038538288993
0,500,0,0,N,39,0.24517160128636295
0,500,0,0,N,40,0.026639563104141416
0,500,0,0,N,41,0.3574495813531167
0,500,0,0,N,42,-0.10430581065939563
0,500,0,0,N,43,-0.014324427610841045
0,500,0,0,N,44,-0.6084556858523783
0,500,0,0,N,45,0.05948183847434218
0,500,0,0,N,46,0.16159624141674359
0,500,0,0,N,47,-0.20676023658153397
0,500,0,0,N,48,0.02349439458401365
0,500,0,0,N,49,-0.08469199030502272
0,500,0,0,N,50,-0.2944279881052652
0,500,0,0,N,51,-0.017907766467273534
0,500,0,0,N,52,0.18105869740356603
0,500,0,0,N,53,0.04120124556465791
0,500,0,0,N,54,-0.055416669368266426
0,500,0,0,N,55,-0.13381323494433034
0,500,0,1,N,0,-0.3673584589714587
0,500,0,1,N,1,-0.5891253225991813
0,500,0,1,N,2,0.15361249827060205
0,500,0,1,N,3,0.4809396877612696
0,500,0,1,N,4,-0.8745226362293372
0,500,0,1,N,5,0.21281908815671377
0,500,0,1,N,6,-0.0027666560521645896
0,500,0,1,N,7,0.12347346677429204
0,500,0,1,N,8,0.055761861666345475
0,500,0,1,N,9,-0.2184837510527415
0,500,0,1,N,10,0.08337869458561564
0,500,0,1,N,11,0.23380810602886065
0,500,0,1,N,12,0.252024420364788
0,500,0,1,N,13,0.05235322324075453
0,500,0,1,N,14,-0.5760164921273548
0,500,0,1,N,15,-0.7175455226138583
0,500,0,1,N,16,0.4247178355868619
0,500,0,1,N,17,0.7033202545339521
0,500,0,1,N,18,0.2486495516996527
0,500,0,1,N,19,-0.10544281851724087
0,500,0,1,N,20,-0.28439350049513146
