round,epoch,layer,neuron,type,weight,value
0,800,0,0,N,0,-0.2166677639597354
0,800,0,0,N,1,-0.1820657587934432
0,800,0,0,N,2,-0.4754772140032849
0,800,0,0,N,3,0.43505793330111875
0,800,0,0,N,4,-0.473554387511309
0,800,0,0,N,5,0.28051388397807064
0,800,0,0,N,6,0.35998329815989927
0,800,0,0,N,7,0.47489097875682607
0,800,0,0,N,8,0.07084940474387924
0,800,0,0,N,9,-0.48515158895523564
0,800,0,0,N,10,0.2795795371899081
0,800,0,0,N,11,0.25045536441307265
0,800,0,0,N,12,0.13331024581199064
0,800,0,0,N,13,-0.4751017945327985
0,800,0,0,N,14,0.5156633744552426
0,800,0,0,N,15,-0.2646059119140078
0,800,0,0,N,16,0.304994671420236
0,800,0,0,N,17,-0.05030080961496302
0,800,0,0,N,18,0.18749275554463915
0,800,0,0,N,19,-0.522438911384579
0,800,0,0,N,20,0.18913132624413548
0,800,0,0,N,21,0.05933449354624675
0,800,0,0,N,22,-0.4082943018106784
0,800,0,0,N,23,-0.26722824847687937
0,800,0,0,N,24,0.275153086640023
0,800,0,0,N,25,0.1515334623851775
0,800,0,0,N,26,-0.6112665683747204
0,800,0,0,N,27,0.7714160206085391
0,800,0,0,N,28,-0.08950976062079054
0,800,0,0,N,29,-0.0815556446867313
0,800,0,0,N,30,-0.010383860343445628
0,800,0,0,N,31,-0.14808939444312696
0,800,0,0,N,32,0.29270089053376214
0,800,0,0,N,33,0.5699693027245163
0,800,0,0,N,34,0.43358015525530946
0,800,0,0,N,35,-0.29833744959502584
0,800,0,0,N,36,-0.6783583410692653
0,800,0,0,N,37,0.32318506735476965
0,800,0,0,N,38,-0.33948859804464265
0,800,0,0,N,39,-0.4318768291287025
0,800,0,0,N,40,0.436888508205889
0,800,0,0,N,41,-0.2937221909210855
0,800,0,0,N,42,-0.12057308566383222
0,800,0,0,N,43,-0.04537244547834512
0,800,0,0,N,44,-0.8486737982753696
0,800,0,0,N,45,-0.027428219801524333
0,800,0,0,N,46,-0.18667297625664955
0,800,0,0,N,47,0.6732374497672414
0,800,0,0,N,48,0.5364591460103426
0,800,0,0,N,49,-0.0649567236544023
0,800,0,0,N,50,-0.27165836060249493
0,800,0,0,N,51,-0.4725332254163663
0,800,0,0,N,52,-0.05665494747627438
0,800,0,0,N,53,0.2643638924684756
0,800,0,0,N,54,0.059371294094829045
0,800,0,0,N,55,-0.0998589336453282
0,800,0,1,N,0,0.022853147091732192
0,800,0,1,N,1,0.3060075022735597
0,800,0,1,N,2,-0.28586876408309186
0,800,0,1,N,3,0.18413412944870716
0,800,0,1,N,4,0.4468179867040774
0,800,0,1,N,5,-0.4159024541278105
0,800,0,1,N,6,-0.19893942104819945
0,800,0,1,N,7,0.8748447898973075
0,800,0,1,N,8,0.041868985887940205
0,800,0,1,N,9,-0.058674803396322965
0,800,0,1,N,10,-0.2386300750374941
0,800,0,1,N,11,0.44483574259881525
0,800,0,1,N,12,0.3501518104340449
0,800,0,1,N,13,-0.26180653920890096
0,800,0,1,N,14,-0.2758427188064701
0,800,0,1,N,15,0.5651381280204
0,800,0,1,N,16,0.08571460829585996
0,800,0,1,N,17,0.6813831514704901
0,800,0,1,N,18,-0.1786857034984391
0,800,0,1,N,19,0.871145327436983
0,800,0,1,N,20,0.7037085452296865
0,800,0,1,N,21,-0.5683336805319963
0,800,0,1,N,22,0.18091610623449925
0,800,0,1,N,23,-0.7464431034645406
0,800,0,1,N,24,0.18927290724196422
0,800,0,1,N,25,-0.6074637407384044
0,800,0,1,N,26,-0.4426408453081908
0,800,0,1,N,27,-0.022178604081965408
0,800,0,1,N,28,0.6205810947719195
0,800,0,1,N,29,0.7295309414937102
0,800,0,1,N,30,-0.39992799543128976
0,800,0,1,N,31,0.35360234233143517
0,800,0,1,N,32,0.3894995731158155
0,800,0,1,N,33,-0.587264188560373
0,800,0,1,N,34,0.5832062347673417
0,800,0,1,N,35,0.04141812253022218
0,800,0,1,N,36,-0.2899354263012442
0,800,0,1,N,37,-0.10150356255138265
0,800,0,1,N,38,-0.26713869767185305
0,800,0,1,N,39,0.17024733879664122
0,800,0,1,N,40,-0.27161999291814054
0,800,0,1,N,41,0.20896130290052023
0,800,0,1,N,42,0.2740640096138952
0,800,0,1,N,43,-0.8054965011100281
0,800,0,1,N,44,0.22506961190103283
0,800,0,1,N,45,-0.5178128757132812
0,800,0,1,N,46,-0.17996821987353623
0,800,0,1,N,47,0.0024126343054110557
0,800,0,1,N,48,0.13701289330494723
0,800,0,1,N,49,0.7322013308124676
0,800,0,1,N,50,0.11113885252402007
0,800,0,1,N,51,-0.5567903728709019
0,800,0,1,N,52,-0.7870503398901776
0,800,0,1,N,53,-0.6639347108963428
0,800,0,1,N,54,0.11992538413119226
0,800,0,1,N,55,0.3220883690442671
0,800,0,2,N,0,-0.06395242434710498
0,800,0,2,N,1,0.08819487436845914
0,800,0,2,N,2,0.21847780175922432
0,800,0,2,N,3,0.14316853282361167
0,800,0,2,N,4,-0.2606306169055287
0,800,0,2,N,5,0.5087060471085315
0,800,0,2,N,6,0.2970302956408345
0,800,0,2,N,7,0.7046562992051977
0,800,0,2,N,8,0.6019879899660031
0,800,0,2,N,9,-0.42891489198557503
0,800,0,2,N,10,0.3023705311913365
0,800,0,2,N,11,-0.35336259349173593
0,800,0,2,N,12,2.7536960851803E-4
0,800,0,2,N,13,-0.3696607784089493
0,800,0,2,N,14,0.39227549244298515
0,800,0,2,N,15,0.5651799663669941
0,800,0,2,N,16,-0.5659508690540305
0,800,0,2,N,17,-0.11601116789283714
0,800,0,2,N,18,-0.3084978145429851
0,800,0,2,N,19,-0.779473965411772
0,800,0,2,N,20,-0.1870838545428315
0,800,0,2,N,21,0.08603767788588956
0,800,0,2,N,22,0.21275678678141682
0,800,0,2,N,23,0.26106853494313575
0,800,0,2,N,24,0.10002463281810625
0,800,0,2,N,25,-0.20877864505627775
0,800,0,2,N,26,-0.2723265159234889
0,800,0,2,N,27,0.5432064896432476
0,800,0,2,N,28,-0.1104891839399243
0,800,0,2,N,29,0.5201794629504599
0,800,0,2,N,30,0.11787611854090596
0,800,0,2,N,31,0.2869472954792134
0,800,0,2,N,32,-0.5886899244636811
0,800,0,2,N,33,-0.36462204270295406
0,800,0,2,N,34,-0.3269630146338439
0,800,0,2,N,35,0.09095358054795182
0,800,0,2,N,36,0.5582551798029608
0,800,0,2,N,37,0.028920326745338443
0,800,0,2,N,38,0.03778193230497962
0,800,0,2,N,39,-0.2310042748642933
0,800,0,2,N,40,-0.5231553921498275
0,800,0,2,N,41,-0.9438856216525138
0,800,0,2,N,42,-0.5768884873513352
0,800,0,2,N,43,0.49841440270261433
0,800,0,2,N,44,0.09806249197923876
0,800,0,2,N,45,0.5374069302390778
0,800,0,2,N,46,-0.0036034515494876066
0,800,0,2,N,47,-0.072875997721764
0,800,0,2,N,48,0.6503450443797589
0,800,0,2,N,49,-0.042754848139482
0,800,0,2,N,50,0.09240005177615786
0,800,0,2,N,51,-0.3765571752930075
0,800,0,2,N,52,-0.17114823292620618
0,800,0,2,N,53,0.5979168957925382
0,800,0,2,N,54,-0.452327875844816
0,800,0,2,N,55,0.13518981029216653
0,800,0,3,N,0,0.2870790474339763
0,800,0,3,N,1,-0.19505981909382084
0,800,0,3,N,2,-0.47107757470589173
0,800,0,3,N,3,-0.1857418891838884
0,800,0,3,N,4,-0.12248202376792755
0,800,0,3,N,5,-0.3212317040862406
0,800,0,3,N,6,0.7944452400665898
0,800,0,3,N,7,-0.22023759641784993
0,800,0,3,N,8,0.15565545761182645
0,800,0,3,N,9,-0.8842724365800515
0,800,0,3,N,10,-0.27285693404512235
0,800,0,3,N,11,-0.6608973111896002
0,800,0,3,N,12,0.726659240327402
0,800,0,3,N,13,0.07800705983690552
0,800,0,3,N,14,-0.3977793977722242
0,800,0,3,N,15,-0.6253462624049954
0,800,0,3,N,16,-0.2055125414114032
0,800,0,3,N,17,-0.1918142620779287
0,800,0,3,N,18,0.16151225058278917
0,800,0,3,N,19,-0.44104508177159546
0,800,0,3,N,20,-0.4284859124128583
0,800,0,3,N,21,-0.0433233473552031
0,800,0,3,N,22,-0.32734537274127035
0,800,0,3,N,23,-0.3387014149984205
0,800,0,3,N,24,0.12799836993608127
0,800,0,3,N,25,-0.4759103063003056
0,800,0,3,N,26,-0.055707625186443246
0,800,0,3,N,27,-0.5807756418989769
0,800,0,3,N,28,-0.3053639376118366
0,800,0,3,N,29,-0.27784597604571626
0,800,0,3,N,30,0.44473236208265565
0,800,0,3,N,31,0.21482294875060814
0,800,0,3,N,32,0.19997170054887692
0,800,0,3,N,33,0.19241043276694972
0,800,0,3,N,34,0.8858310706869256
0,800,0,3,N,35,0.12021016031485675
0,800,0,3,N,36,0.7785390902422052
0,800,0,3,N,37,-0.42529645706691227
0,800,0,3,N,38,-0.24545518038869463
0,800,0,3,N,39,-0.5138316269210658
0,800,0,3,N,40,0.33123751573425403
0,800,0,3,N,41,0.5877503966700637
0,800,0,3,N,42,-0.09788062519098571
0,800,0,3,N,43,-0.4635104527059822
0,800,0,3,N,44,-0.07588080286553105
0,800,0,3,N,45,-0.6307839988295001
0,800,0,3,N,46,0.19950708506008183
0,800,0,3,N,47,0.1532346156193472
0,800,0,3,N,48,0.6080228794497133
0,800,0,3,N,49,0.15319417254324627
0,800,0,3,N,50,0.07455718535411271
0,800,0,3,N,51,-0.21750031553683732
0,800,0,3,N,52,-0.3408348339170293
0,800,0,3,N,53,-0.7523327586240257
0,800,0,3,N,54,0.5784158538471559
0,800,0,3,N,55,-0.495718319582595
0,800,0,4,N,0,0.07938586732538754
0,800,0,4,N,1,0.30797087991334365
0,800,0,4,N,2,0.32475387543038126
0,800,0,4,N,3,0.3761677084169478
0,800,0,4,N,4,0.3974772530484071
0,800,0,4,N,5,-0.05132349414850647
0,800,0,4,N,6,0.0764683623957973
0,800,0,4,N,7,-0.7381186947054332
0,800,0,4,N,8,-0.6254315429402798
0,800,0,4,N,9,0.22573273690777962
0,800,0,4,N,10,-0.35278242878301114
0,800,0,4,N,11,0.2480691360596215
0,800,0,4,N,12,0.46811268983042853
0,800,0,4,N,13,-0.08249787528610827
0,800,0,4,N,14,-0.2964181032338146
0,800,0,4,N,15,-0.12357461753598856
0,800,0,4,N,16,-0.2593177094244805
0,800,0,4,N,17,0.22634679589075857
0,800,0,4,N,18,-0.23360332000039435
0,800,0,4,N,19,0.5305600450275749
0,800,0,4,N,20,-0.13819586544826923
0,800,0,4,N,21,-0.49667123024756327
0,800,0,4,N,22,0.18240280154018623
0,800,0,4,N,23,-0.38494480647202345
0,800,0,4,N,24,0.08014526841748337
0,800,0,4,N,25,-0.23452110527922476
0,800,0,4,N,26,-0.11715853035847613
0,800,0,4,N,27,0.01746036060599139
0,800,0,4,N,28,0.0843161065820811
0,800,0,4,N,29,-0.3031110898982312
0,800,0,4,N,30,0.5571222839735185
0,800,0,4,N,31,0.46912618030326414
0,800,0,4,N,32,-0.532886803526233
0,800,0,4,N,33,-0.011839875120151114
0,800,0,4,N,34,-0.2526176540836083
0,800,0,4,N,35,-0.21992188304585505
0,800,0,4,N,36,-0.03633806632344893
0,800,0,4,N,37,-0.4557816514205631
0,800,0,4,N,38,-0.5179891411589447
0,800,0,4,N,39,-0.8446540945898766
0,800,0,4,N,40,0.5494173845531979
0,800,0,4,N,41,-0.23840314638043184
0,800,0,4,N,42,0.2701578444973014
0,800,0,4,N,43,0.4137912079261913
0,800,0,4,N,44,0.2671845651188679
0,800,0,4,N,45,-0.258409925106395
0,800,0,4,N,46,-0.5154768777343822
0,800,0,4,N,47,-0.35971551577664695
0,800,0,4,N,48,0.3111596892077938
0,800,0,4,N,49,-0.2741818586655712
0,800,0,4,N,50,-0.1640526021058195
0,800,0,4,N,51,-0.021240540480736897
0,800,0,4,N,52,-0.019555429886904313
0,800,0,4,N,53,-0.26920229922300093
0,800,0,4,N,54,0.07741318757290938
0,800,0,4,N,55,-0.5162862014383082
0,800,0,5,N,0,0.2869833623087839
0,800,0,5,N,1,0.5394338322493265
0,800,0,5,N,2,-0.4611758185148979
0,800,0,5,N,3,1.0033744461329535
0,800,0,5,N,4,0.7242164272195699
0,800,0,5,N,5,0.20283598551344548
0,800,0,5,N,6,-0.3747571285382168
0,800,0,5,N,7,0.07869120394746955
0,800,0,5,N,8,0.10490105577669907
