round,epoch,layer,neuron,type,weight,value
0,500,0,0,N,0,-0.08673494997877529
0,500,0,0,N,1,0.12676642955399747
0,500,0,0,N,2,-0.7022279806778059
0,500,0,0,N,3,0.12560270811178698
0,500,0,0,N,4,0.39751610465332476
0,500,0,0,N,5,0.4834957523733292
0,500,0,0,N,6,-0.2121016067011769
0,500,0,0,N,7,-0.6406073693142829
0,500,0,0,N,8,0.2982787320748436
0,500,0,0,N,9,0.147696806294702
0,500,0,0,N,10,0.4353444964358024
0,500,0,0,N,11,-0.5622448666063486
0,500,0,0,N,12,0.6048371530900107
0,500,0,0,N,13,0.4865744580810093
0,500,0,0,N,14,0.22522874428399764
0,500,0,0,N,15,-0.3821061495599127
0,500,0,0,N,16,0.24815289476491753
0,500,0,0,N,17,-0.20652873047630557
0,500,0,0,N,18,-0.0063562038686246596
0,500,0,0,N,19,-0.3506065618254912
0,500,0,0,N,20,-0.05048216453341736
0,500,0,0,N,21,-0.15263615547624446
0,500,0,0,N,22,0.21663842396065172
0,500,0,0,N,23,0.34012832709188
0,500,0,0,N,24,-0.05394616054119572
0,500,0,0,N,25,0.348614179932656
0,500,0,0,N,26,0.6470977843803051
0,500,0,0,N,27,-0.19280945286703255
0,500,0,0,N,28,0.03458907623043403
0,500,0,0,N,29,0.31814287250741785
0,500,0,0,N,30,0.7025435502983244
0,500,0,0,N,31,0.2672421622170307
0,500,0,0,N,32,0.06743562059866748
0,500,0,0,N,33,0.21323443796937688
0,500,0,0,N,34,0.4583769259323161
0,500,0,0,N,35,-0.11061809002197084
0,500,0,0,N,36,-0.2248887698922083
0,500,0,0,N,37,0.8434374160233583
0,500,0,0,N,38,0.2443521417737385
0,500,0,0,N,39,0.4253718548111044
0,500,0,0,N,40,-0.294977829460207
0,500,0,0,N,41,-0.12747621619349006
0,500,0,0,N,42,-0.5381760053855295
0,500,0,0,N,43,-0.0701396377196954
0,500,0,0,N,44,-0.47690151552259125
0,500,0,0,N,45,0.6317602926707047
0,500,0,0,N,46,-0.12255656556254954
0,500,0,0,N,47,0.6097605425911361
0,500,0,0,N,48,-0.07575789965032614
0,500,0,0,N,49,0.64147154823517
0,500,0,0,N,50,0.47679925727883643
0,500,0,0,N,51,0.7580705651121435
0,500,0,0,N,52,-0.2974596692011392
0,500,0,0,N,53,-0.20844292316478474
0,500,0,0,N,54,0.41685857343773536
0,500,0,0,N,55,0.09413494647475074
0,500,0,1,N,0,0.2797696841349461
0,500,0,1,N,1,0.6451528866681244
0,500,0,1,N,2,0.6009668504798094
0,500,0,1,N,3,-0.42222984190252544
0,500,0,1,N,4,0.0021176715301533663
0,500,0,1,N,5,0.49206484782105087
0,500,0,1,N,6,0.07256047322125418
0,500,0,1,N,7,0.018256258685649285
0,500,0,1,N,8,0.15552857231583242
0,500,0,1,N,9,-0.442100295289184
0,500,0,1,N,10,-0.14111051642677755
0,500,0,1,N,11,-0.6690758646728405
0,500,0,1,N,12,0.08590387071677295
0,500,0,1,N,13,0.13655093318226666
0,500,0,1,N,14,0.2976660705448587
0,500,0,1,N,15,0.06618260768140986
0,500,0,1,N,16,0.03698242934056072
0,500,0,1,N,17,0.194334807888995
0,500,0,1,N,18,0.9437813256629265
0,500,0,1,N,19,0.12060896046057301
0,500,0,1,N,20,-0.12826373289637494
0,500,0,1,N,21,0.30669112707240204
0,500,0,1,N,22,-0.07938055950241536
0,500,0,1,N,23,0.6100790978928055
0,500,0,1,N,24,0.1398890978961711
0,500,0,1,N,25,0.14882772126407162
0,500,0,1,N,26,0.41388685287886473
0,500,0,1,N,27,-0.14462806455418853
0,500,0,1,N,28,0.3338207429255304
0,500,0,1,N,29,0.4546376701268898
0,500,0,1,N,30,-0.3017301884336693
0,500,0,1,N,31,-0.6832020517139039
0,500,0,1,N,32,-0.3794933333811433
0,500,0,1,N,33,0.12825472542307545
0,500,0,1,N,34,-0.4826625214606333
0,500,0,1,N,35,0.03897812220229971
0,500,0,1,N,36,0.4286787616578474
0,500,0,1,N,37,0.7503587520454527
0,500,0,1,N,38,0.16612793260581812
0,500,0,1,N,39,-0.886278847764007
0,500,0,1,N,40,-0.11723823002716138
0,500,0,1,N,41,0.22527786967553365
0,500,0,1,N,42,-0.024933728749111723
0,500,0,1,N,43,-0.03390126322872099
0,500,0,1,N,44,-0.500649649880017
0,500,0,1,N,45,-0.5665500978109201
0,500,0,1,N,46,-0.4890557087308717
0,500,0,1,N,47,0.4153064610562906
0,500,0,1,N,48,0.7263214086790409
0,500,0,1,N,49,-0.5758607425856799
0,500,0,1,N,50,-0.5374906928742467
0,500,0,1,N,51,0.5265186005505734
0,500,0,1,N,52,0.12715203961337485
0,500,0,1,N,53,0.009280047483428491
0,500,0,1,N,54,-0.9736301348229452
0,500,0,1,N,55,-0.3142963022088887
0,500,0,2,N,0,-0.6651021425927361
0,500,0,2,N,1,-0.4330686141325404
0,500,0,2,N,2,0.05741506837838098
0,500,0,2,N,3,-0.7189365296076229
0,500,0,2,N,4,0.2387851598967819
0,500,0,2,N,5,0.028821355546999532
0,500,0,2,N,6,0.2268117064053497
0,500,0,2,N,7,-0.07473074342468713
0,500,0,2,N,8,-0.006977607838284683
0,500,0,2,N,9,-0.044040741005597225
0,500,0,2,N,10,0.5546625702979882
0,500,0,2,N,11,-0.3709700600245084
0,500,0,2,N,12,-0.0892346810345271
0,500,0,2,N,13,0.3285847440856757
0,500,0,2,N,14,0.2510779485244272
0,500,0,2,N,15,0.40340185927414
0,500,0,2,N,16,0.16673706859239776
0,500,0,2,N,17,-0.4476200397376083
0,500,0,2,N,18,-0.05528857466209736
0,500,0,2,N,19,-0.008385582240591383
0,500,0,2,N,20,0.24032876410429016
0,500,0,2,N,21,-0.7508579064355951
0,500,0,2,N,22,0.45834771107927424
0,500,0,2,N,23,0.3384267715616011
0,500,0,2,N,24,-0.43449399020629587
0,500,0,2,N,25,-0.19221466717425473
0,500,0,2,N,26,0.6735725149698837
0,500,0,2,N,27,0.5842029304081096
0,500,0,2,N,28,0.3304436793663619
0,500,0,2,N,29,0.1474729476545432
0,500,0,2,N,30,0.2151561657727019
