round,epoch,layer,neuron,type,weight,value
0,900,0,0,N,0,-0.04847408752755288
0,900,0,0,N,1,0.5613595516827922
0,900,0,0,N,2,-0.24784434562251453
0,900,0,0,N,3,0.14295858129846675
0,900,0,0,N,4,0.035964700788218035
0,900,0,0,N,5,-0.8645183064292875
0,900,0,0,N,6,-0.7128564687655653
0,900,0,0,N,7,-0.05746015885879011
0,900,0,0,N,8,-0.0642521341929191
0,900,0,0,N,9,0.5843067590683522
0,900,0,0,N,10,-0.8763593307052548
0,900,0,0,N,11,-0.48316758971726237
0,900,0,0,N,12,0.20874312139640533
0,900,0,0,N,13,0.42023641392035355
0,900,0,0,N,14,-0.013397194928290501
0,900,0,0,N,15,0.5400811050015658
0,900,0,0,N,16,0.28044665494051085
0,900,0,0,N,17,0.041225804669266765
0,900,0,0,N,18,0.1767061907487402
0,900,0,0,N,19,-0.47705792378699496
0,900,0,0,N,20,0.06932417262954586
0,900,0,0,N,21,0.3238387116903369
0,900,0,0,N,22,-0.3903110581694596
0,900,0,0,N,23,0.07558695329295637
0,900,0,0,N,24,0.04020306190447187
0,900,0,0,N,25,0.17427183919186573
0,900,0,0,N,26,0.19747369111254853
0,900,0,0,N,27,0.2307652590422827
0,900,0,0,N,28,0.5950446605957592
0,900,0,0,N,29,0.047582144014570935
0,900,0,0,N,30,-0.29012307850634056
0,900,0,0,N,31,0.3359674474426083
0,900,0,0,N,32,-0.23518499105216617
0,900,0,0,N,33,-0.8581132871975675
0,900,0,0,N,34,-0.07352320886519273
0,900,0,0,N,35,-0.4014112809674421
0,900,0,0,N,36,0.27758165184799366
0,900,0,0,N,37,0.3654728222880732
0,900,0,0,N,38,0.11739835010464382
0,900,0,0,N,39,0.01820939436325031
0,900,0,0,N,40,0.3352861485604226
0,900,0,0,N,41,-0.039111446783071775
0,900,0,0,N,42,-0.35427791612990267
0,900,0,0,N,43,-0.4721146486421947
0,900,0,0,N,44,-0.21629897467353146
0,900,0,0,N,45,0.15928661319970155
0,900,0,0,N,46,0.5106158581013338
0,900,0,0,N,47,0.5094440188840849
0,900,0,0,N,48,-0.7289225078844179
0,900,0,0,N,49,0.210257253926906
0,900,0,0,N,50,0.02926981805963352
0,900,0,0,N,51,0.1674984010317312
0,900,0,0,N,52,0.7527015264939645
0,900,0,0,N,53,0.17530306845864937
0,900,0,0,N,54,0.07235175853644968
0,900,0,0,N,55,-0.13627259449588092
