round,epoch,tGroup,target,outcome,probX,probY,probZ
0,0,1,1,0,0.78,0.52,0.48
0,1,1,1,0,0.72,0.53,0.40
0,2,0,2,0,0.72,0.56,0.41
0,3,0,2,0,0.75,0.43,0.37
0,4,0,2,0,0.63,0.50,0.49
0,5,1,1,0,0.54,0.47,0.49
0,6,0,0,0,0.53,0.56,0.45
0,7,0,0,0,0.56,0.49,0.40
0,8,1,1,0,0.57,0.43,0.40
0,9,1,1,0,0.52,0.48,0.37
0,10,1,1,0,0.38,0.58,0.35
0,11,1,1,0,0.35,0.62,0.33
0,12,1,0,0,0.49,0.57,0.29
0,13,1,2,0,0.61,0.48,0.29
0,14,0,0,0,0.45,0.51,0.31
0,15,1,1,0,0.45,0.47,0.31
0,16,0,2,0,0.58,0.40,0.26
0,17,0,2,0,0.42,0.46,0.37
0,18,1,1,0,0.40,0.46,0.41
0,19,1,0,0,0.32,0.48,0.32
0,20,1,0,0,0.41,0.46,0.30
0,21,1,1,0,0.31,0.49,0.30
0,22,1,0,0,0.44,0.46,0.27
0,23,0,2,0,0.57,0.31,0.25
0,24,0,0,0,0.45,0.42,0.31
0,25,0,0,0,0.48,0.37,0.27
0,26,1,0,0,0.54,0.35,0.26
0,27,1,1,0,0.41,0.39,0.26
0,28,0,1,0,0.57,0.34,0.28
0,29,1,1,0,0.33,0.48,0.24
0,30,1,0,0,0.51,0.42,0.22
0,31,0,0,0,0.51,0.41,0.21
0,32,0,2,0,0.64,0.29,0.20
0,33,0,2,0,0.57,0.32,0.22
0,34,1,2,0,0.55,0.29,0.28
0,35,0,2,0,0.47,0.29,0.29
0,36,0,0,0,0.38,0.32,0.33
0,37,0,2,0,0.40,0.29,0.37
0,38,0,2,0,0.49,0.22,0.34
0,39,0,2,0,0.33,0.27,0.45
0,40,1,0,0,0.39,0.26,0.42
0,41,1,0,0,0.39,0.26,0.39
0,42,1,2,0,0.51,0.20,0.40
0,43,0,2,0,0.45,0.17,0.40
0,44,1,0,0,0.29,0.28,0.46
0,45,0,0,0,0.45,0.21,0.41
0,46,1,0,0,0.37,0.25,0.40
0,47,1,1,0,0.33,0.26,0.38
0,48,0,0,0,0.48,0.23,0.33
0,49,1,1,0,0.50,0.24,0.38
0,50,1,2,0,0.55,0.21,0.33
0,51,1,0,0,0.45,0.25,0.33
0,52,0,2,0,0.51,0.21,0.32
0,53,0,0,0,0.48,0.22,0.34
0,54,0,2,0,0.55,0.16,0.33
0,55,0,0,0,0.44,0.21,0.37
0,56,1,0,0,0.45,0.21,0.34
0,57,1,2,0,0.59,0.17,0.37
0,58,0,0,0,0.49,0.20,0.36
0,59,0,2,0,0.48,0.18,0.41
0,60,1,0,0,0.45,0.18,0.37
0,61,1,0,0,0.59,0.17,0.35
0,62,1,1,0,0.47,0.19,0.36
0,63,0,2,0,0.54,0.18,0.33
0,64,1,1,0,0.38,0.22,0.37
0,65,0,2,0,0.51,0.17,0.34
0,66,1,0,0,0.44,0.22,0.36
