round,epoch,layer,neuron,type,weight,value
0,800,0,0,N,0,-0.6619690875385511
0,800,0,0,N,1,0.3649564252894227
0,800,0,0,N,2,-0.2690720869013287
0,800,0,0,N,3,0.6303170634233982
0,800,0,0,N,4,0.7300958268816519
0,800,0,0,N,5,-0.10443339804934086
0,800,0,0,N,6,0.016808991926751622
0,800,0,0,N,7,-0.041699138078672815
0,800,0,0,N,8,-0.10704893330282353
0,800,0,0,N,9,-0.584170368186802
0,800,0,0,N,10,-0.06564588427261184
0,800,0,0,N,11,-0.3356734457443768
0,800,0,0,N,12,0.06330924711841099
0,800,0,0,N,13,0.5588590604076866
0,800,0,0,N,14,-0.15486472771364537
0,800,0,0,N,15,-0.04918057462606418
0,800,0,0,N,16,-0.5121549094041683
0,800,0,0,N,17,-0.6357350758569911
0,800,0,0,N,18,-0.10037510541206374
0,800,0,0,N,19,0.25536129339213987
0,800,0,0,N,20,-0.10756108913894562
0,800,0,0,N,21,-0.5894468709498479
0,800,0,0,N,22,0.1357813451372114
0,800,0,0,N,23,-0.22840980784601228
0,800,0,0,N,24,-0.48111972762566557
0,800,0,0,N,25,0.13747394847363792
0,800,0,0,N,26,-0.5614314846618237
0,800,0,0,N,27,0.3928473807783369
0,800,0,0,N,28,-0.8730088800984267
0,800,0,0,N,29,0.46631719605297367
0,800,0,0,N,30,-0.023000962307264228
0,800,0,0,N,31,-0.13413200370676925
0,800,0,0,N,32,0.8821910649806345
0,800,0,0,N,33,0.06765555549445304
0,800,0,0,N,34,0.34168847946155634
0,800,0,0,N,35,-0.5683987380192246
0,800,0,0,N,36,-0.5485980096904395
0,800,0,0,N,37,0.01711475499737332
0,800,0,0,N,38,0.4552736332074071
0,800,0,0,N,39,-0.1936428690839881
0,800,0,0,N,40,-0.39669359133557813
0,800,0,0,N,41,-0.42122791229470313
0,800,0,0,N,42,-0.44729099047885634
0,800,0,0,N,43,0.02283683725095085
0,800,0,0,N,44,0.7979225539849366
0,800,0,0,N,45,-0.16005294478752644
0,800,0,0,N,46,0.32866225145468997
0,800,0,0,N,47,0.049022502358811955
0,800,0,0,N,48,0.003626037461169247
0,800,0,0,N,49,-0.19984445009821605
0,800,0,0,N,50,-0.04990251976547966
0,800,0,0,N,51,0.24129519153150697
0,800,0,0,N,52,-0.7400346787664717
0,800,0,0,N,53,-0.10042769452189126
0,800,0,0,N,54,0.5801590256676116
0,800,0,0,N,55,-0.49181385453641496
0,800,0,1,N,0,-0.8540837719595796
0,800,0,1,N,1,0.5976142510263613
0,800,0,1,N,2,-0.37225620675496135
0,800,0,1,N,3,-0.36455301906012505
0,800,0,1,N,4,-0.05414581836466055
0,800,0,1,N,5,-0.46786460866905466
0,800,0,1,N,6,-0.49742328780583245
0,800,0,1,N,7,0.4502587830241385
0,800,0,1,N,8,-0.016173166727856094
0,800,0,1,N,9,0.5827650763494365
0,800,0,1,N,10,0.20618470057914168
0,800,0,1,N,11,-0.1913465097980928
0,800,0,1,N,12,-0.1077252939903616
0,800,0,1,N,13,-0.629875363568968
0,800,0,1,N,14,-0.346032948902628
0,800,0,1,N,15,-0.3411865943334551
0,800,0,1,N,16,0.7237796170650442
0,800,0,1,N,17,-0.39423873367117906
0,800,0,1,N,18,-0.1583730728032347
0,800,0,1,N,19,-0.20179577258580605
0,800,0,1,N,20,-0.6222791589439681
0,800,0,1,N,21,-0.24294639397109766
0,800,0,1,N,22,-0.3057676224842584
0,800,0,1,N,23,-0.7949377687876593
0,800,0,1,N,24,0.17432198343563488
0,800,0,1,N,25,0.6612236482482935
0,800,0,1,N,26,0.5971155995234844
0,800,0,1,N,27,-0.4833729873660964
0,800,0,1,N,28,0.27874070703271847
0,800,0,1,N,29,0.010417170769312612
0,800,0,1,N,30,0.12709195110523963
