round,epoch,layer,neuron,type,weight,value
0,700,0,0,N,0,0.13982754925319435
0,700,0,0,N,1,-0.3732183520360072
0,700,0,0,N,2,-0.23661902317641184
0,700,0,0,N,3,-0.12984128503922301
0,700,0,0,N,4,0.2924336321171001
0,700,0,0,N,5,-0.5857223327645815
0,700,0,0,N,6,-0.081149986150058
0,700,0,0,N,7,0.2515205444909994
0,700,0,0,N,8,0.722587319729526
0,700,0,0,N,9,-0.04670877304601589
0,700,0,0,N,10,0.4859634290656023
0,700,0,0,N,11,-0.09281094677119911
0,700,0,0,N,12,-0.3155904082432071
0,700,0,0,N,13,0.33426857209245986
0,700,0,0,N,14,-0.5332369803294761
0,700,0,0,N,15,0.023652093198703046
0,700,0,0,N,16,-0.10561481331792044
0,700,0,0,N,17,-0.22521669085659554
0,700,0,0,N,18,0.40697802687677614
0,700,0,0,N,19,-0.1915036632207967
0,700,0,0,N,20,0.311838055176695
0,700,0,0,N,21,0.5533290675944813
0,700,0,0,N,22,-0.15998527894647713
0,700,0,0,N,23,0.026123471610682403
0,700,0,0,N,24,-0.10523354478879554
0,700,0,0,N,25,0.19781650933895356
0,700,0,0,N,26,-0.1268925471262092
0,700,0,0,N,27,-0.7996810008234044
0,700,0,0,N,28,0.8978530418021461
0,700,0,0,N,29,-0.20933216571989272
0,700,0,0,N,30,-0.6064213177131704
0,700,0,0,N,31,-0.1368305101659426
0,700,0,0,N,32,-0.013232408299933551
0,700,0,0,N,33,0.18092010433526856
0,700,0,0,N,34,-0.584404008644743
0,700,0,0,N,35,0.5569373499365133
0,700,0,0,N,36,-0.6351841739672679
0,700,0,0,N,37,0.909255039427228
0,700,0,0,N,38,0.5074935242591266
0,700,0,0,N,39,0.023412899873518134
0,700,0,0,N,40,-0.25925208483056056
0,700,0,0,N,41,0.43781935103890174
0,700,0,0,N,42,-0.3485297994173979
0,700,0,0,N,43,0.49495363724225744
0,700,0,0,N,44,0.39343139858701903
0,700,0,0,N,45,-0.5427035097965749
0,700,0,0,N,46,-0.10103231326187853
0,700,0,0,N,47,-0.11793114808320035
0,700,0,0,N,48,-0.2829507259726849
0,700,0,0,N,49,0.288896654626914
0,700,0,0,N,50,0.2469793245175109
0,700,0,0,N,51,0.23980239683890806
0,700,0,0,N,52,-0.039096031668420836
0,700,0,0,N,53,0.561367374001952
0,700,0,0,N,54,-0.1764277554435389
0,700,0,0,N,55,-0.36488592173489054
0,700,0,1,N,0,0.2300953092475628
0,700,0,1,N,1,0.7488823418618485
0,700,0,1,N,2,0.3907628204095103
0,700,0,1,N,3,0.4215639498152718
0,700,0,1,N,4,0.5291156140349178
0,700,0,1,N,5,-0.18263183754521264
0,700,0,1,N,6,-0.28535364412294767
0,700,0,1,N,7,0.5667386864714355
0,700,0,1,N,8,0.6591438243512132
0,700,0,1,N,9,0.6264199762495523
0,700,0,1,N,10,-0.02086927106689314
0,700,0,1,N,11,0.4181398948096115
0,700,0,1,N,12,0.02602034311740691
0,700,0,1,N,13,-0.44739056668306687
0,700,0,1,N,14,-0.6292771245734262
0,700,0,1,N,15,-0.022106364998970646
0,700,0,1,N,16,0.5405165447093637
0,700,0,1,N,17,0.1164257136645071
0,700,0,1,N,18,-0.8014465102834456
0,700,0,1,N,19,0.4666231884439803
0,700,0,1,N,20,0.019443818190037793
0,700,0,1,N,21,0.44235792300782484
0,700,0,1,N,22,0.18703539675307723
0,700,0,1,N,23,-0.07482612732273775
0,700,0,1,N,24,0.8299446022049207
0,700,0,1,N,25,0.4392111938522122
0,700,0,1,N,26,-0.6222029653944252
0,700,0,1,N,27,0.12253268544888687
0,700,0,1,N,28,0.7399855767135649
0,700,0,1,N,29,-0.31834575385188946
0,700,0,1,N,30,-0.36353978123553077
0,700,0,1,N,31,0.5753134928728856
0,700,0,1,N,32,0.16814813697490716
0,700,0,1,N,33,0.6958083680563534
0,700,0,1,N,34,-0.20846186163471403
0,700,0,1,N,35,-0.32628005204024974
0,700,0,1,N,36,-0.3472604107677425
0,700,0,1,N,37,-0.3593526181608597
0,700,0,1,N,38,0.7891168442762966
0,700,0,1,N,39,0.5061249356539236
0,700,0,1,N,40,0.8500346771287983
0,700,0,1,N,41,0.39636013952112464
0,700,0,1,N,42,-0.5831597599119649
0,700,0,1,N,43,0.16228137156129935
0,700,0,1,N,44,-0.33462275191485674
0,700,0,1,N,45,-0.16671185973879551
0,700,0,1,N,46,0.3032948625924269
0,700,0,1,N,47,0.057564841705708664
0,700,0,1,N,48,-0.3235710764195846
0,700,0,1,N,49,-0.5347924953903974
0,700,0,1,N,50,0.5566531518086216
0,700,0,1,N,51,-0.5161158405946052
0,700,0,1,N,52,-0.22279233176279595
0,700,0,1,N,53,-0.4288255084473179
0,700,0,1,N,54,0.5318345008819731
0,700,0,1,N,55,-0.18027196671652282
0,700,0,2,N,0,-0.0771603655298398
0,700,0,2,N,1,0.011560131345140846
0,700,0,2,N,2,-0.17027122137077874
0,700,0,2,N,3,0.029150893054895134
0,700,0,2,N,4,0.8669894634799108
0,700,0,2,N,5,-0.30117298536519926
0,700,0,2,N,6,0.09796710912029526
0,700,0,2,N,7,0.32593720801050324
0,700,0,2,N,8,-0.14640651527860835
0,700,0,2,N,9,-0.5562794605814113
0,700,0,2,N,10,-0.47003527268800754
0,700,0,2,N,11,0.540731544416514
0,700,0,2,N,12,0.0672911942175125
0,700,0,2,N,13,-0.416518608684221
0,700,0,2,N,14,0.563499588215227
0,700,0,2,N,15,0.1387859107239753
0,700,0,2,N,16,-0.5928826323522579
0,700,0,2,N,17,0.2480261505575286
0,700,0,2,N,18,0.44866569051931854
0,700,0,2,N,19,-0.028232435739957595
0,700,0,2,N,20,0.5386602351035557
0,700,0,2,N,21,-0.6473361064152497
0,700,0,2,N,22,0.1086111551180805
0,700,0,2,N,23,0.17379772418604744
0,700,0,2,N,24,-0.6563626910872322
0,700,0,2,N,25,0.7037485146742154
0,700,0,2,N,26,-0.6529875207467837
0,700,0,2,N,27,-0.2527482742773504
0,700,0,2,N,28,0.2957258720753882
0,700,0,2,N,29,-0.5051125694385142
0,700,0,2,N,30,-0.8341142372136173
0,700,0,2,N,31,-0.5750001152983225
0,700,0,2,N,32,-0.690551497706509
0,700,0,2,N,33,0.18798225079819345
0,700,0,2,N,34,0.04163168407725796
0,700,0,2,N,35,-0.29321407413491635
0,700,0,2,N,36,-0.14205713437118017
0,700,0,2,N,37,0.482690107864717
0,700,0,2,N,38,-0.3975985483767902
0,700,0,2,N,39,-0.31757007278998384
0,700,0,2,N,40,-0.7210631156944953
0,700,0,2,N,41,0.0893716089005531
0,700,0,2,N,42,0.36832353407891855
0,700,0,2,N,43,0.03812645470960067
0,700,0,2,N,44,-0.6929013421736263
0,700,0,2,N,45,0.2693389687464552
0,700,0,2,N,46,-0.5478335899476307
0,700,0,2,N,47,0.6206024253043441
0,700,0,2,N,48,-0.024026040468234738
0,700,0,2,N,49,-0.4020647094132985
0,700,0,2,N,50,-0.19256034749420095
0,700,0,2,N,51,-0.44741346763112105
0,700,0,2,N,52,0.5970273096542515
0,700,0,2,N,53,-0.08213950071240707
0,700,0,2,N,54,0.5689518600294289
0,700,0,2,N,55,0.5175242162840404
0,700,0,3,N,0,0.3659219387131846
0,700,0,3,N,1,-0.07920692471813588
0,700,0,3,N,2,0.7913272602667204
0,700,0,3,N,3,-0.34078635757555026
0,700,0,3,N,4,0.3270508207632739
0,700,0,3,N,5,0.06184675316132563
0,700,0,3,N,6,-0.5058680804514619
0,700,0,3,N,7,0.0950136254785164
0,700,0,3,N,8,-0.7851495702506497
0,700,0,3,N,9,-0.1716634462755987
0,700,0,3,N,10,-0.11563887108224952
0,700,0,3,N,11,-0.6869727437994545
0,700,0,3,N,12,0.01873721575595158
0,700,0,3,N,13,-0.3003765575186251
0,700,0,3,N,14,-0.47787808404521526
0,700,0,3,N,15,0.2077387333310668
0,700,0,3,N,16,0.005607425644591824
0,700,0,3,N,17,-0.06925828795088823
0,700,0,3,N,18,0.14536239225138012
0,700,0,3,N,19,0.4667550577007281
0,700,0,3,N,20,0.38745351796449123
0,700,0,3,N,21,-0.09824734953545039
0,700,0,3,N,22,-0.11404680570155566
0,700,0,3,N,23,0.1829161093228301
0,700,0,3,N,24,0.6952923327014422
0,700,0,3,N,25,-0.23971739399203473
0,700,0,3,N,26,-0.011052626153226552
0,700,0,3,N,27,0.08448188532629405
0,700,0,3,N,28,0.888074488626446
0,700,0,3,N,29,-0.07660348779898705
0,700,0,3,N,30,-0.6242762731294254
0,700,0,3,N,31,-0.4467251428684087
0,700,0,3,N,32,-0.2243603302597399
0,700,0,3,N,33,0.28498675112846
0,700,0,3,N,34,0.8963776423848544
0,700,0,3,N,35,-1.0908386419019136
0,700,0,3,N,36,-0.4472728886636895
0,700,0,3,N,37,0.22717608588228888
0,700,0,3,N,38,0.530199367328154
0,700,0,3,N,39,0.4478302519231152
0,700,0,3,N,40,0.38353133339740986
0,700,0,3,N,41,-0.3482561494651245
0,700,0,3,N,42,0.5680904108150612
0,700,0,3,N,43,-0.06110717835032609
0,700,0,3,N,44,0.17367038715920752
0,700,0,3,N,45,-0.0766019671617961
0,700,0,3,N,46,-0.08183803522531509
0,700,0,3,N,47,0.05595671348743187
0,700,0,3,N,48,0.1981139791824658
0,700,0,3,N,49,-0.5314580458904945
0,700,0,3,N,50,0.04430516111137867
0,700,0,3,N,51,-0.17133796924797268
0,700,0,3,N,52,0.5199971272931213
0,700,0,3,N,53,0.03183973056162856
0,700,0,3,N,54,-0.23573426449161522
0,700,0,3,N,55,-0.31721679765537614
0,700,0,4,N,0,-0.12192101985401248
0,700,0,4,N,1,-0.6467519413406929
0,700,0,4,N,2,0.198305925877805
0,700,0,4,N,3,0.6623532577299543
0,700,0,4,N,4,-0.2809999836227945
0,700,0,4,N,5,0.1918617621213909
0,700,0,4,N,6,0.09273102561149073
0,700,0,4,N,7,0.03474334341010575
0,700,0,4,N,8,-0.0759447641415414
0,700,0,4,N,9,-0.171681315168444
0,700,0,4,N,10,-0.004070018079345426
0,700,0,4,N,11,0.50466506791305
0,700,0,4,N,12,0.1528952993729746
0,700,0,4,N,13,0.4712082131354196
0,700,0,4,N,14,-0.05938946091910583
0,700,0,4,N,15,0.7911048790203516
0,700,0,4,N,16,-0.5932271274659896
0,700,0,4,N,17,-0.335743498425926
0,700,0,4,N,18,0.3222103454551731
0,700,0,4,N,19,-0.48114528462374817
0,700,0,4,N,20,0.22118579786508608
0,700,0,4,N,21,-0.09527463421926602
0,700,0,4,N,22,-0.11237900647881499
0,700,0,4,N,23,-0.6276228136766651
0,700,0,4,N,24,0.030081218160640355
0,700,0,4,N,25,0.0547925843600896
0,700,0,4,N,26,-0.44802124107967
0,700,0,4,N,27,0.03958529893841736
0,700,0,4,N,28,0.44144625579872737
0,700,0,4,N,29,0.03805821652593739
0,700,0,4,N,30,-0.4092019417969853
0,700,0,4,N,31,-0.8151759287902061
0,700,0,4,N,32,0.3683783041883657
0,700,0,4,N,33,0.34158042006649686
0,700,0,4,N,34,0.46842160512846714
0,700,0,4,N,35,0.28348286326013833
0,700,0,4,N,36,0.16709670244418603
0,700,0,4,N,37,0.18503404595770562
0,700,0,4,N,38,0.29841696362266007
0,700,0,4,N,39,-0.06485479045272025
0,700,0,4,N,40,0.11792860178328832
0,700,0,4,N,41,0.5089353805591605
0,700,0,4,N,42,-0.01148143187302351
0,700,0,4,N,43,-0.7874839283155106
0,700,0,4,N,44,-0.5694689106099462
0,700,0,4,N,45,-0.6473713903757965
0,700,0,4,N,46,0.16768097833943355
0,700,0,4,N,47,-0.3505547006282992
0,700,0,4,N,48,0.1959105044598388
0,700,0,4,N,49,-0.6680452939491792
0,700,0,4,N,50,-0.16860370811691636
0,700,0,4,N,51,0.6536334064824514
0,700,0,4,N,52,0.8605694198231375
0,700,0,4,N,53,-0.10694174941479932
0,700,0,4,N,54,-0.7254575151951932
0,700,0,4,N,55,0.8592496877910719
0,700,0,5,N,0,0.47086543856612806
0,700,0,5,N,1,0.18245359299279315
