round,epoch,layer,neuron,type,weight,value
0,600,0,0,N,0,-0.3357804808316482
0,600,0,0,N,1,0.28618748398449184
0,600,0,0,N,2,-0.74214404543918
0,600,0,0,N,3,0.2568726246884221
0,600,0,0,N,4,-0.5543205157077838
0,600,0,0,N,5,0.05144015926451167
0,600,0,0,N,6,-0.5530237059670048
0,600,0,0,N,7,-0.20189189629527718
0,600,0,0,N,8,-0.06872507120247627
0,600,0,0,N,9,0.4843184895168788
0,600,0,0,N,10,0.10045768254834571
0,600,0,0,N,11,0.26077283806012713
0,600,0,0,N,12,0.42758651980322926
0,600,0,0,N,13,-0.026468873271127628
0,600,0,0,N,14,0.02294675342047684
0,600,0,0,N,15,0.08828565752066532
0,600,0,0,N,16,-0.046123738240285275
0,600,0,0,N,17,-0.5742517926184278
0,600,0,0,N,18,-0.11211518724861536
0,600,0,0,N,19,0.03468532753912232
0,600,0,0,N,20,-0.29362547883377405
0,600,0,0,N,21,-0.7200992944596906
0,600,0,0,N,22,-0.2528872820903736
0,600,0,0,N,23,-0.06660212208317642
0,600,0,0,N,24,0.1033365350173685
0,600,0,0,N,25,-0.051639038438496376
0,600,0,0,N,26,0.2932297014235873
0,600,0,0,N,27,0.7511765621718565
0,600,0,0,N,28,-0.10401771202208061
0,600,0,0,N,29,0.4072524829931765
0,600,0,0,N,30,0.4729531477919946
0,600,0,0,N,31,0.5046508651570909
0,600,0,0,N,32,0.4954772078757139
0,600,0,0,N,33,-0.08087472357203959
0,600,0,0,N,34,-0.28929437037192385
0,600,0,0,N,35,-0.619003173363495
0,600,0,0,N,36,-0.2977183039616431
0,600,0,0,N,37,-0.4169719808501051
0,600,0,0,N,38,0.4230874490160161
0,600,0,0,N,39,0.15364300437710032
0,600,0,0,N,40,-0.7235960933276568
0,600,0,0,N,41,0.5697548589044759
0,600,0,0,N,42,0.1839349435927087
0,600,0,0,N,43,-0.45141610044212555
0,600,0,0,N,44,-0.41936142541228894
0,600,0,0,N,45,0.19660188698200967
0,600,0,0,N,46,-0.40080089284740733
0,600,0,0,N,47,-0.19498459934451354
0,600,0,0,N,48,0.5664921013864517
0,600,0,0,N,49,-0.27014196232541743
0,600,0,0,N,50,0.05551131984143023
0,600,0,0,N,51,0.6077293124178603
0,600,0,0,N,52,0.5144425424672295
0,600,0,0,N,53,-0.2532379028376673
0,600,0,0,N,54,0.6754101918738742
0,600,0,0,N,55,-0.7684705863552153
0,600,0,1,N,0,0.002422147762067238
0,600,0,1,N,1,0.4573242831492814
0,600,0,1,N,2,-0.4136219458063176
0,600,0,1,N,3,-0.11525453183801673
0,600,0,1,N,4,-0.8133000235124794
0,600,0,1,N,5,0.25791687673489827
0,600,0,1,N,6,0.22098917178721572
0,600,0,1,N,7,0.17760195018345915
0,600,0,1,N,8,-0.5839081119544524
0,600,0,1,N,9,-0.09377293959002667
0,600,0,1,N,10,0.0997974651701774
0,600,0,1,N,11,-0.7078416081408743
0,600,0,1,N,12,-0.2466425389112847
0,600,0,1,N,13,0.47915656543131485
0,600,0,1,N,14,-0.5691189466169021
0,600,0,1,N,15,0.04850392057080498
0,600,0,1,N,16,-0.35931495668190816
0,600,0,1,N,17,-0.4849637242328595
0,600,0,1,N,18,-0.7285035729605457
0,600,0,1,N,19,0.02006338694800014
0,600,0,1,N,20,-0.23568969981949955
0,600,0,1,N,21,-0.5978074637789528
0,600,0,1,N,22,-0.6633934359790593
0,600,0,1,N,23,-0.20576994071437807
0,600,0,1,N,24,0.006923832251542805
0,600,0,1,N,25,0.29110114973884904
0,600,0,1,N,26,-0.233974482130911
0,600,0,1,N,27,-0.7834989736587018
0,600,0,1,N,28,-0.3927570461714811
0,600,0,1,N,29,0.8513111082763812
0,600,0,1,N,30,0.4995694284192522
0,600,0,1,N,31,-0.5968033267061386
0,600,0,1,N,32,0.14906946361492246
0,600,0,1,N,33,-0.33305523676806437
0,600,0,1,N,34,0.5254740521488002
0,600,0,1,N,35,-0.10195864927680157
0,600,0,1,N,36,-0.1260298432087522
0,600,0,1,N,37,-0.39032307063859417
0,600,0,1,N,38,-0.6096934035737324
0,600,0,1,N,39,-0.28108226523002067
0,600,0,1,N,40,-0.4968639923493767
0,600,0,1,N,41,0.23782070608493477
