round,epoch,layer,neuron,type,weight,value
0,600,0,0,N,0,-0.5320566760004921
0,600,0,0,N,1,-0.07233348025612454
0,600,0,0,N,2,0.059346083341735995
0,600,0,0,N,3,-9.798605670048425E-4
0,600,0,0,N,4,0.5685174541687761
0,600,0,0,N,5,0.032417418313752555
0,600,0,0,N,6,0.360431058575158
0,600,0,0,N,7,0.5791605309845188
0,600,0,0,N,8,0.2895009642653652
0,600,0,0,N,9,0.6503484373624479
0,600,0,0,N,10,0.12368221425488216
0,600,0,0,N,11,0.28008942553344335
0,600,0,0,N,12,0.052079906243213486
0,600,0,0,N,13,0.3424240304729348
0,600,0,0,N,14,0.5394887349175478
0,600,0,0,N,15,-0.355581303335493
0,600,0,0,N,16,0.01570068424672172
0,600,0,0,N,17,-0.15028668572446524
0,600,0,0,N,18,-0.11382835950928773
0,600,0,0,N,19,-0.7993529399916025
0,600,0,0,N,20,0.17266876407730156
0,600,0,0,N,21,0.11573945957618322
0,600,0,0,N,22,0.07376115729893727
0,600,0,0,N,23,0.5636354660590681
0,600,0,0,N,24,-0.4152864414905314
0,600,0,0,N,25,0.6838950234308093
0,600,0,0,N,26,-0.6904597577068177
0,600,0,0,N,27,-0.9835044218452281
0,600,0,0,N,28,-0.6739790087277315
0,600,0,0,N,29,-0.2767548920166195
0,600,0,0,N,30,-0.5862227725540095
0,600,0,0,N,31,-0.731617016727312
0,600,0,0,N,32,0.2290282992891044
0,600,0,0,N,33,0.06005997362252783
0,600,0,0,N,34,0.43732205911883676
0,600,0,0,N,35,-0.3852458457730418
0,600,0,0,N,36,-0.6887586850316013
0,600,0,0,N,37,-0.5465355441610212
0,600,0,0,N,38,-0.30968686579803006
0,600,0,0,N,39,-0.06520311165056336
0,600,0,0,N,40,-0.2066739980965196
0,600,0,0,N,41,-0.24378604056381106
0,600,0,0,N,42,1.0341830360837678
0,600,0,0,N,43,0.5225227645935523
0,600,0,0,N,44,-0.02407626015246075
0,600,0,0,N,45,0.11021844961024255
0,600,0,0,N,46,0.27891873280920937
0,600,0,0,N,47,-0.3556732454964501
0,600,0,0,N,48,0.7039030386755136
0,600,0,0,N,49,0.3513837730422869
0,600,0,0,N,50,0.6452545016821576
0,600,0,0,N,51,0.10216103642195802
0,600,0,0,N,52,0.3503338920081546
0,600,0,0,N,53,-0.326086711879347
0,600,0,0,N,54,-0.36003654110984296
0,600,0,0,N,55,-0.21307034270949263
0,600,0,1,N,0,-0.4684904223121051
0,600,0,1,N,1,0.6280060685939568
0,600,0,1,N,2,0.773156763241439
0,600,0,1,N,3,0.06993686122736166
0,600,0,1,N,4,0.5059873926260685
0,600,0,1,N,5,0.45142855214630184
0,600,0,1,N,6,0.6629219282701873
0,600,0,1,N,7,-0.7189164936781413
0,600,0,1,N,8,0.3887040356066785
0,600,0,1,N,9,0.21472179280483714
0,600,0,1,N,10,0.803178630845872
0,600,0,1,N,11,-0.238078211023396
0,600,0,1,N,12,0.7720369845378567
0,600,0,1,N,13,0.48375068922762504
0,600,0,1,N,14,0.19207371449303293
0,600,0,1,N,15,-0.2787169401258018
0,600,0,1,N,16,0.27513481646532706
0,600,0,1,N,17,-0.02945893661371804
0,600,0,1,N,18,0.20477096936945527
0,600,0,1,N,19,-0.627892179034155
0,600,0,1,N,20,0.009875339329126561
0,600,0,1,N,21,-0.35762816695381827
0,600,0,1,N,22,-0.18114784793059896
0,600,0,1,N,23,-0.03779569603399466
0,600,0,1,N,24,0.08793903643639966
0,600,0,1,N,25,0.47405034700695536
0,600,0,1,N,26,0.6205101383258862
0,600,0,1,N,27,-0.06887737956832918
0,600,0,1,N,28,-0.5968014691723452
0,600,0,1,N,29,-0.5525104480310058
0,600,0,1,N,30,0.453380503904963
0,600,0,1,N,31,0.1802999542351824
0,600,0,1,N,32,-0.4745639363728389
0,600,0,1,N,33,0.15909210850650896
0,600,0,1,N,34,0.384438772611569
0,600,0,1,N,35,0.5695048127029055
0,600,0,1,N,36,-0.8370835207367434
0,600,0,1,N,37,0.04774900882173746
0,600,0,1,N,38,0.10316349535509765
0,600,0,1,N,39,0.4370579544436165
0,600,0,1,N,40,-0.9440169418466644
0,600,0,1,N,41,-0.10093788139317605
0,600,0,1,N,42,0.17180599852672718
0,600,0,1,N,43,-0.9080834554397167
0,600,0,1,N,44,0.6466351897752858
0,600,0,1,N,45,0.6309365625854056
0,600,0,1,N,46,-0.24721866466480524
0,600,0,1,N,47,-0.7890285090135494
0,600,0,1,N,48,0.18764630072391772
0,600,0,1,N,49,0.09555698051591979
0,600,0,1,N,50,-0.02424143083223265
0,600,0,1,N,51,0.39387808961909854
0,600,0,1,N,52,0.4928397375544565
0,600,0,1,N,53,-0.07234701022681944
0,600,0,1,N,54,0.4213886654086498
0,600,0,1,N,55,-0.05194835171556688
0,600,0,2,N,0,-0.36953995493230735
0,600,0,2,N,1,-0.4036570828761458
0,600,0,2,N,2,-0.26657222142158554
0,600,0,2,N,3,0.22913708726424137
0,600,0,2,N,4,-0.11814063652245903
0,600,0,2,N,5,-0.3229752415431862
0,600,0,2,N,6,0.2859646128188346
0,600,0,2,N,7,-0.4662728979699435
0,600,0,2,N,8,-0.5979019274316387
0,600,0,2,N,9,0.08770479559969035
0,600,0,2,N,10,0.06348598060834836
0,600,0,2,N,11,0.5872032829045742
0,600,0,2,N,12,-0.21478896364730488
0,600,0,2,N,13,0.010101585991501983
0,600,0,2,N,14,0.4975129770984845
0,600,0,2,N,15,-0.40098376376965306
0,600,0,2,N,16,-0.5115962154883696
0,600,0,2,N,17,0.16916667341879668
0,600,0,2,N,18,0.2014820397893382
0,600,0,2,N,19,-0.7996395206771277
0,600,0,2,N,20,-0.06711002541325414
0,600,0,2,N,21,-0.545736533959953
0,600,0,2,N,22,-0.9233929680379895
0,600,0,2,N,23,0.6756976931644433
0,600,0,2,N,24,0.5818201487935472
0,600,0,2,N,25,0.1816332148019456
0,600,0,2,N,26,-0.38902297793147705
0,600,0,2,N,27,0.011744649429585764
0,600,0,2,N,28,0.3081997533564405
0,600,0,2,N,29,0.7006157372559871
0,600,0,2,N,30,0.13383029944746838
0,600,0,2,N,31,-0.6007341895281431
0,600,0,2,N,32,-0.18311341788369695
0,600,0,2,N,33,-0.10989421960919593
0,600,0,2,N,34,0.9511712935841075
0,600,0,2,N,35,-0.4373288589034868
0,600,0,2,N,36,-0.5477260323973999
0,600,0,2,N,37,0.019907403811433317
0,600,0,2,N,38,0.8550918360666283
0,600,0,2,N,39,-0.19739501435946172
0,600,0,2,N,40,-0.07493504941805482
0,600,0,2,N,41,-0.2728155082635734
0,600,0,2,N,42,0.5393912640828094
0,600,0,2,N,43,0.39527085824791836
0,600,0,2,N,44,0.0851077489419833
0,600,0,2,N,45,-0.6193814604956418
0,600,0,2,N,46,-0.007076716796213683
0,600,0,2,N,47,0.4686830429898875
0,600,0,2,N,48,-0.12753418860129967
0,600,0,2,N,49,0.15380801203125086
0,600,0,2,N,50,0.5196781831379956
0,600,0,2,N,51,-0.4314253977836248
0,600,0,2,N,52,0.09362993810706184
0,600,0,2,N,53,0.13601578258641062
0,600,0,2,N,54,0.17560447884887534
0,600,0,2,N,55,0.4648385901974653
0,600,0,3,N,0,-0.17496963970679913
0,600,0,3,N,1,-0.6647507626806194
0,600,0,3,N,2,0.1462026326756577
0,600,0,3,N,3,-0.37313951423924924
0,600,0,3,N,4,0.12790162242257355
0,600,0,3,N,5,-0.29035982531823296
0,600,0,3,N,6,0.6089457208619475
0,600,0,3,N,7,0.148499103142696
0,600,0,3,N,8,-0.07052407451665026
0,600,0,3,N,9,0.6889206614885869
0,600,0,3,N,10,0.08210201794913642
0,600,0,3,N,11,-0.7624484727085374
0,600,0,3,N,12,-0.7843534806687174
0,600,0,3,N,13,-0.22993861138568097
0,600,0,3,N,14,-0.6550487953323717
0,600,0,3,N,15,0.16356201951055357
0,600,0,3,N,16,0.0036604410290378554
0,600,0,3,N,17,0.19190463085895204
0,600,0,3,N,18,0.2040838689515338
0,600,0,3,N,19,-0.20122107570258208
0,600,0,3,N,20,-0.47002962937567316
0,600,0,3,N,21,0.00893868141926164
0,600,0,3,N,22,-0.5967160250304648
0,600,0,3,N,23,0.08638046590320997
0,600,0,3,N,24,-0.7921209156345351
0,600,0,3,N,25,0.11200498960705862
0,600,0,3,N,26,0.9314539377661368
0,600,0,3,N,27,-0.11712562057634927
0,600,0,3,N,28,-0.6896220953519487
0,600,0,3,N,29,-0.39342412345746314
0,600,0,3,N,30,-0.33203139615594013
0,600,0,3,N,31,-0.29945629677491414
0,600,0,3,N,32,-0.2544057114190329
0,600,0,3,N,33,-0.04263687987388838
0,600,0,3,N,34,-0.5557693190743419
0,600,0,3,N,35,0.037252644534077846
0,600,0,3,N,36,0.49917090105666945
0,600,0,3,N,37,0.3552637882256923
0,600,0,3,N,38,0.3130442033038858
0,600,0,3,N,39,0.32334619284756616
0,600,0,3,N,40,-0.1950874090325779
0,600,0,3,N,41,-0.47776511632895613
0,600,0,3,N,42,0.5641003227691552
