tGroup,round,epoch,layer,neuron,type,weight,value
1-2,0,700,0,1,N,52,0.11099312680754736
1-2,0,700,0,1,N,53,-0.5446130840802437
1-2,0,700,0,1,N,54,-0.47328617634799686
1-2,0,700,0,1,N,55,0.21109329636525415
1-2,0,700,0,2,N,0,0.732614098561151
1-2,0,700,0,2,N,1,0.37752981870575697
1-2,0,700,0,2,N,2,0.031983925930202335
1-2,0,700,0,2,N,3,0.3548223271265293
1-2,0,700,0,2,N,4,0.44754977226962533
1-2,0,700,0,2,N,5,0.10352018712246602
1-2,0,700,0,2,N,6,0.27893572398214017
1-2,0,700,0,2,N,7,-0.6514009968173611
1-2,0,700,0,2,N,8,-0.41029602832067424
1-2,0,700,0,2,N,9,0.01670707434152405
1-2,0,700,0,2,N,10,0.5826340471672702
1-2,0,700,0,2,N,11,0.08425279677514308
1-2,0,700,0,2,N,12,-0.41638557762856443
1-2,0,700,0,2,N,13,-0.4552844746095305
1-2,0,700,0,2,N,14,0.04375512404785371
1-2,0,700,0,2,N,15,-0.29435401202245937
1-2,0,700,0,2,N,16,0.05948819535790674
1-2,0,700,0,2,N,17,-0.04500897315442223
1-2,0,700,0,2,N,18,-0.5149516361617246
1-2,0,700,0,2,N,19,0.7736257364522325
1-2,0,700,0,2,N,20,0.9637198597667566
1-2,0,700,0,2,N,21,-0.23013044145377823
1-2,0,700,0,2,N,22,0.3693330477650955
1-2,0,700,0,2,N,23,-0.9087690793406381
1-2,0,700,0,2,N,24,0.006078440195486978
1-2,0,700,0,2,N,25,0.6616151840246383
1-2,0,700,0,2,N,26,-0.4567982406723604
1-2,0,700,0,2,N,27,0.04059339933521357
1-2,0,700,0,2,N,28,0.05339047526386076
1-2,0,700,0,2,N,29,-0.25401047933954873
1-2,0,700,0,2,N,30,-0.04185341664797648
1-2,0,700,0,2,N,31,0.2563499242045991
1-2,0,700,0,2,N,32,0.21503517999990118
1-2,0,700,0,2,N,33,-0.18480088573984488
1-2,0,700,0,2,N,34,-0.37600560565494184
1-2,0,700,0,2,N,35,0.10486217385835937
1-2,0,700,0,2,N,36,-0.1467619860093822
1-2,0,700,0,2,N,37,0.32916162008483396
1-2,0,700,0,2,N,38,-0.7372582188062415
1-2,0,700,0,2,N,39,0.39630236521147877
1-2,0,700,0,2,N,40,-0.5921754359251314
1-2,0,700,0,2,N,41,0.08747200263820204
1-2,0,700,0,2,N,42,0.3675961370264709
1-2,0,700,0,2,N,43,-0.5540964787483009
1-2,0,700,0,2,N,44,-0.6206404657208061
1-2,0,700,0,2,N,45,0.1714013384687103
1-2,0,700,0,2,N,46,-0.6913002016655821
1-2,0,700,0,2,N,47,0.3042524242147658
1-2,0,700,0,2,N,48,0.04015081104793758
1-2,0,700,0,2,N,49,0.5640656508855024
1-2,0,700,0,2,N,50,-0.6654716103626116
1-2,0,700,0,2,N,51,-0.5871452608217151
1-2,0,700,0,2,N,52,0.63475754107214
1-2,0,700,0,2,N,53,-0.2850219988712045
1-2,0,700,0,2,N,54,-0.4968838989456532
1-2,0,700,0,2,N,55,0.6969715208333315
1-2,0,700,0,3,N,0,0.4401731056393455
1-2,0,700,0,3,N,1,0.7009012153632873
1-2,0,700,0,3,N,2,0.7187517889105479
1-2,0,700,0,3,N,3,0.39621974034825513
1-2,0,700,0,3,N,4,0.474823516835171
1-2,0,700,0,3,N,5,-0.28148357470855173
1-2,0,700,0,3,N,6,-0.39583790118803935
1-2,0,700,0,3,N,7,-0.44005552738994796
1-2,0,700,0,3,N,8,0.1557701703106309
1-2,0,700,0,3,N,9,-0.4165112189928741
1-2,0,700,0,3,N,10,0.4723442945764932
1-2,0,700,0,3,N,11,-0.0373115333486859
1-2,0,700,0,3,N,12,0.5858221271446292
1-2,0,700,0,3,N,13,0.2397227824881668
1-2,0,700,0,3,N,14,-0.028279006206668938
1-2,0,700,0,3,N,15,-0.521405529060996
1-2,0,700,0,3,N,16,0.37862816050257414
1-2,0,700,0,3,N,17,-0.5675485335137965
1-2,0,700,0,3,N,18,-0.33934084663781977
1-2,0,700,0,3,N,19,-0.19660133326342774
1-2,0,700,0,3,N,20,0.1055386876254333
1-2,0,700,0,3,N,21,0.2200517604107372
1-2,0,700,0,3,N,22,0.7596489820770436
1-2,0,700,0,3,N,23,-0.5652040504647042
1-2,0,700,0,3,N,24,-0.2823673764143102
1-2,0,700,0,3,N,25,0.10354048060279197
1-2,0,700,0,3,N,26,0.10544229661544866
1-2,0,700,0,3,N,27,-0.529630120492964
1-2,0,700,0,3,N,28,0.8112185959823279
1-2,0,700,0,3,N,29,0.09966611562998608
1-2,0,700,0,3,N,30,-0.6569000752093348
1-2,0,700,0,3,N,31,-0.22604783374505444
1-2,0,700,0,3,N,32,0.17087401586465045
1-2,0,700,0,3,N,33,0.0820323003919853
1-2,0,700,0,3,N,34,0.23061164564327363
1-2,0,700,0,3,N,35,0.1253028291512121
1-2,0,700,0,3,N,36,-0.3793726740270554
1-2,0,700,0,3,N,37,-0.16877655155225582
1-2,0,700,0,3,N,38,0.11357097124061101
1-2,0,700,0,3,N,39,-0.7512366120697133
1-2,0,700,0,3,N,40,-0.00867240470160044
