epoch,tGroup,target,outcome,probX,probY,probZ
158,0,0,0,0.56,0.30,0.20
159,0,2,0,0.32,0.17,0.55
160,1,0,0,0.58,0.32,0.33
161,0,2,0,0.32,0.16,0.57
162,0,2,0,0.31,0.15,0.60
163,1,1,0,0.40,0.25,0.42
164,0,2,0,0.27,0.17,0.60
165,1,2,0,0.28,0.19,0.58
166,0,0,0,0.51,0.25,0.35
167,0,0,0,0.55,0.24,0.33
168,1,1,0,0.41,0.25,0.39
169,0,1,0,0.39,0.32,0.28
170,1,1,0,0.30,0.35,0.38
171,0,2,0,0.22,0.24,0.56
172,1,2,0,0.28,0.26,0.48
173,1,1,0,0.30,0.35,0.39
174,0,0,0,0.46,0.36,0.28
175,0,0,0,0.49,0.36,0.20
176,0,1,0,0.37,0.38,0.25
177,0,0,0,0.51,0.37,0.18
178,1,1,0,0.32,0.39,0.34
179,1,2,0,0.28,0.28,0.46
180,0,1,0,0.35,0.43,0.25
181,1,1,0,0.26,0.47,0.34
182,1,1,0,0.30,0.48,0.29
183,1,0,0,0.46,0.55,0.24
184,1,2,0,0.25,0.33,0.44
185,0,2,0,0.21,0.29,0.55
186,0,1,0,0.31,0.48,0.25
187,0,0,0,0.45,0.45,0.18
188,0,2,0,0.20,0.29,0.58
189,1,0,0,0.49,0.46,0.29
190,1,1,0,0.29,0.43,0.35
191,0,0,0,0.51,0.39,0.22
192,1,1,0,0.36,0.42,0.28
193,1,1,0,0.28,0.50,0.29
194,1,1,0,0.32,0.51,0.25
195,0,0,0,0.48,0.50,0.13
196,0,0,0,0.53,0.45,0.17
197,0,1,0,0.39,0.51,0.17
198,1,2,0,0.26,0.35,0.41
199,0,0,0,0.52,0.44,0.15
200,1,2,0,0.31,0.33,0.40
201,0,2,0,0.22,0.27,0.58
202,1,1,0,0.28,0.45,0.35
203,0,0,0,0.51,0.40,0.22
204,0,0,0,0.55,0.37,0.21
205,1,0,0,0.59,0.42,0.24
206,1,1,0,0.35,0.41,0.29
207,1,2,0,0.32,0.30,0.41
208,0,0,0,0.57,0.34,0.21
209,0,0,0,0.60,0.33,0.16
210,1,1,0,0.36,0.40,0.29
211,1,2,0,0.30,0.25,0.48
212,0,1,0,0.39,0.42,0.22
213,1,1,0,0.35,0.43,0.28
214,1,2,0,0.24,0.31,0.50
215,1,1,0,0.31,0.46,0.30
216,1,2,0,0.21,0.33,0.53
217,1,0,0,0.49,0.48,0.27
218,1,1,0,0.26,0.49,0.32
219,1,1,0,0.30,0.49,0.28
220,1,2,0,0.20,0.34,0.51
221,1,2,0,0.22,0.36,0.49
222,1,2,0,0.19,0.30,0.61
223,0,0,0,0.46,0.39,0.26
224,0,2,0,0.18,0.26,0.67
225,0,0,0,0.49,0.35,0.22
226,1,2,0,0.26,0.26,0.57
227,1,1,0,0.30,0.38,0.39
228,1,1,0,0.24,0.47,0.39
229,0,0,0,0.49,0.40,0.24
230,0,2,0,0.18,0.26,0.66
231,0,2,0,0.18,0.25,0.69
232,0,0,0,0.51,0.34,0.21
233,0,2,0,0.19,0.23,0.70
234,1,1,0,0.32,0.38,0.36
235,0,0,0,0.52,0.35,0.20
236,1,0,0,0.56,0.40,0.27
237,0,0,0,0.60,0.31,0.22
238,0,0,0,0.62,0.28,0.17
239,1,1,0,0.36,0.39,0.32
240,1,1,0,0.33,0.43,0.29
241,0,1,0,0.39,0.46,0.20
242,1,2,0,0.24,0.28,0.54
243,1,2,0,0.26,0.30,0.51
244,1,2,0,0.25,0.29,0.55
245,1,1,0,0.25,0.47,0.38
246,1,1,0,0.29,0.47,0.32
247,1,2,0,0.18,0.30,0.61
248,1,2,0,0.21,0.32,0.58
249,1,1,0,0.26,0.47,0.35
250,1,0,0,0.47,0.49,0.27
251,0,1,0,0.29,0.50,0.25
252,0,1,0,0.27,0.54,0.24
253,0,1,0,0.26,0.58,0.23
254,0,1,0,0.25,0.61,0.22
255,1,1,0,0.23,0.62,0.26
256,1,1,0,0.22,0.65,0.25
257,0,2,0,0.11,0.44,0.62
258,0,2,0,0.11,0.41,0.65
259,0,0,0,0.41,0.50,0.16
260,0,2,0,0.14,0.34,0.65
261,0,1,0,0.24,0.57,0.24
262,0,0,0,0.45,0.49,0.20
263,1,2,0,0.17,0.31,0.61
264,0,1,0,0.26,0.55,0.24
265,0,1,0,0.25,0.59,0.23
266,0,0,0,0.46,0.49,0.19
267,1,1,0,0.26,0.56,0.26
268,1,1,0,0.20,0.64,0.28
269,1,0,0,0.48,0.58,0.19
270,0,2,0,0.14,0.34,0.63
271,1,2,0,0.20,0.36,0.52
272,0,2,0,0.14,0.30,0.70
273,0,2,0,0.14,0.28,0.70
274,1,2,0,0.16,0.26,0.68
275,1,2,0,0.18,0.29,0.63
276,0,1,0,0.24,0.49,0.30
277,1,1,0,0.23,0.50,0.34
278,1,2,0,0.16,0.34,0.62
279,0,0,0,0.44,0.42,0.24
280,1,2,0,0.18,0.29,0.64
281,1,1,0,0.19,0.52,0.39
282,0,0,0,0.47,0.41,0.22
283,0,2,0,0.14,0.25,0.73
284,1,1,0,0.26,0.46,0.33
285,1,2,0,0.18,0.31,0.62
286,1,1,0,0.24,0.49,0.33
287,0,2,0,0.12,0.29,0.75
288,0,0,0,0.46,0.39,0.19
289,1,1,0,0.21,0.54,0.34
290,0,0,0,0.50,0.39,0.17
291,1,1,0,0.23,0.55,0.30
292,0,1,0,0.28,0.56,0.21
293,1,1,0,0.26,0.57,0.25
294,0,2,0,0.12,0.34,0.70
295,0,2,0,0.12,0.32,0.72
296,0,0,0,0.49,0.45,0.18
297,1,2,0,0.20,0.31,0.59
298,0,0,0,0.52,0.37,0.17
299,0,2,0,0.16,0.24,0.73
300,0,0,0,0.55,0.36,0.20
301,0,0,0,0.59,0.34,0.19
302,1,1,0,0.35,0.42,0.27
303,0,0,0,0.59,0.33,0.16
304,0,0,0,0.63,0.30,0.15
305,0,0,0,0.65,0.29,0.15
306,0,2,0,0.22,0.19,0.70
307,0,0,0,0.66,0.30,0.17
308,1,2,0,0.30,0.20,0.60
309,0,2,0,0.21,0.17,0.74
310,1,2,0,0.23,0.16,0.71
311,1,0,0,0.64,0.32,0.25
312,0,1,0,0.40,0.37,0.24
313,1,1,0,0.30,0.44,0.31
314,0,0,0,0.63,0.28,0.16
315,1,1,0,0.30,0.47,0.28
316,0,1,0,0.36,0.49,0.20
317,0,0,0,0.61,0.37,0.16
318,0,0,0,0.64,0.31,0.14
319,1,2,0,0.23,0.21,0.65
320,0,2,0,0.17,0.21,0.74
321,1,1,0,0.29,0.49,0.28
322,0,2,0,0.17,0.23,0.72
323,0,2,0,0.15,0.22,0.76
324,1,1,0,0.26,0.51,0.29
325,1,1,0,0.25,0.56,0.27
326,0,2,0,0.14,0.26,0.74
327,0,2,0,0.13,0.25,0.76
328,1,2,0,0.17,0.23,0.71
329,1,1,0,0.29,0.49,0.28
330,1,2,0,0.18,0.29,0.64
331,0,0,0,0.55,0.38,0.18
332,0,0,0,0.58,0.36,0.18
333,0,0,0,0.61,0.33,0.17
334,0,2,0,0.17,0.20,0.76
335,1,0,0,0.63,0.37,0.21
336,1,1,0,0.37,0.40,0.26
337,0,2,0,0.15,0.20,0.77
338,0,0,0,0.63,0.27,0.15
339,0,0,0,0.66,0.26,0.15
340,0,1,0,0.38,0.44,0.20
341,1,1,0,0.35,0.46,0.24
342,0,0,0,0.63,0.36,0.15
343,1,0,0,0.65,0.40,0.17
344,0,1,0,0.38,0.48,0.18
345,0,0,0,0.65,0.35,0.13
346,0,0,0,0.68,0.28,0.12
347,1,1,0,0.39,0.45,0.20
348,0,1,0,0.36,0.53,0.16
349,0,0,0,0.65,0.33,0.11
350,1,1,0,0.36,0.51,0.19
351,1,2,0,0.19,0.25,0.64
352,0,1,0,0.32,0.57,0.17
353,1,0,0,0.62,0.48,0.15
354,0,0,0,0.64,0.38,0.12
355,0,2,0,0.15,0.24,0.72
356,0,2,0,0.15,0.23,0.74
357,1,1,0,0.27,0.55,0.23
358,1,2,0,0.21,0.27,0.60
359,0,0,0,0.63,0.35,0.14
360,1,0,0,0.66,0.38,0.17
361,0,2,0,0.15,0.20,0.76
362,1,1,0,0.35,0.44,0.22
363,1,1,0,0.33,0.49,0.21
364,0,2,0,0.14,0.25,0.73
365,0,2,0,0.13,0.24,0.75
366,1,1,0,0.23,0.57,0.25
367,0,0,0,0.61,0.38,0.13
368,0,1,0,0.30,0.55,0.18
369,0,1,0,0.28,0.59,0.18
370,0,2,0,0.12,0.28,0.73
371,0,0,0,0.60,0.34,0.13
372,1,2,0,0.16,0.23,0.70
373,0,2,0,0.12,0.24,0.79
374,0,2,0,0.13,0.23,0.77
375,0,1,0,0.27,0.55,0.21
376,1,2,0,0.17,0.28,0.67
377,1,1,0,0.26,0.53,0.25
378,0,2,0,0.10,0.26,0.81
379,1,1,0,0.19,0.62,0.27
380,0,2,0,0.10,0.26,0.80
381,1,2,0,0.12,0.23,0.75
382,0,1,0,0.22,0.60,0.22
383,0,2,0,0.09,0.26,0.81
384,0,0,0,0.55,0.34,0.15
385,1,0,0,0.59,0.43,0.18
386,1,1,0,0.21,0.59,0.26
387,1,1,0,0.27,0.55,0.22
