"sub.layer","sub.neuron","sub.type","sub.weight","sub.value"
0,0,"N",0,-0.759463574125713
0,0,"N",1,-0.241953900499527
0,0,"N",2,-0.255570854545795
0,0,"N",3,0.262404122075323
0,0,"N",4,0.0389572209724385
0,0,"N",5,0.699731127037556
0,0,"N",6,-0.68680005639787
0,0,"N",7,0.0273813046199129
0,0,"N",8,0.462548018478396
0,0,"N",9,0.0112790237672897
0,0,"N",10,0.297146216256887
0,0,"N",11,0.796548500338644
0,0,"N",12,-0.319860868745485
0,0,"N",13,0.42070222450805
0,0,"N",14,-0.260663993796386
0,0,"N",15,0.0770640901982687
0,0,"N",16,0.596122720945964
0,0,"N",17,0.334857551889434
0,0,"N",18,0.779736660533314
0,0,"N",19,0.527207116931424
0,0,"N",20,0.506954862061091
0,0,"N",21,-0.245761301608945
0,0,"N",22,-0.607376530799887
0,0,"N",23,-0.0759104394503031
0,0,"N",24,-0.695689336013342
0,0,"N",25,0.0243325088315766
0,0,"N",26,-0.472706046729032
0,0,"N",27,-0.022524425749215
0,0,"N",28,-0.0401442998966898
0,0,"N",29,0.115662243281773
0,0,"N",30,-0.779044969287869
0,0,"N",31,0.244753152886405
0,0,"N",32,0.0954787518133799
0,0,"N",33,0.56828241819487
0,0,"N",34,0.124074430639756
0,0,"N",35,0.61292136700971
0,0,"N",36,0.0566221145132065
0,0,"N",37,0.157659469132841
0,0,"N",38,0.0448484956823612
0,0,"N",39,-0.307305981594343
0,0,"N",40,-0.440481820085154
0,0,"N",41,0.0574104521857861
0,0,"N",42,-0.504725845027021
0,0,"N",43,0.124441780222208
0,0,"N",44,-0.213051711933625
0,0,"N",45,-0.133101494955404
0,0,"N",46,0.485666404165794
0,0,"N",47,0.052146210519169
0,0,"N",48,0.00396935741500789
0,0,"N",49,-0.309523119530821
0,0,"N",50,-0.437584452377479
0,0,"N",51,-0.172912431295055
0,0,"N",52,-0.4405345378148
0,0,"N",53,-0.528283827433136
0,0,"N",54,-0.515631234232503
0,0,"N",55,-0.499586632258895
0,1,"N",0,-0.452575710822746
0,1,"N",1,-0.529924820260276
0,1,"N",2,-0.29024193998262
0,1,"N",3,-0.615943806753586
0,1,"N",4,0.365009399351499
0,1,"N",5,0.74807462561608
0,1,"N",6,0.109535639177134
0,1,"N",7,-0.0374458646396282
0,1,"N",8,0.0446734140134314
0,1,"N",9,-0.228772840987133
0,1,"N",10,-0.447406774213843
0,1,"N",11,0.176232931134601
0,1,"N",12,0.439220198090148
0,1,"N",13,0.00876797142153047
0,1,"N",14,0.432388618876955
0,1,"N",15,-0.536762818352179
0,1,"N",16,-0.0130877029214266
0,1,"N",17,0.542332781537624
0,1,"N",18,-0.673593741360886
0,1,"N",19,-0.0572784619550879
0,1,"N",20,-0.360150923997423
0,1,"N",21,0.164495090295422
0,1,"N",22,0.205641512026954
0,1,"N",23,-0.139880058725829
0,1,"N",24,0.719671116999231
0,1,"N",25,0.522071205458303
0,1,"N",26,-0.172786045386732
0,1,"N",27,-0.28217423940581
0,1,"N",28,0.494358800177898
0,1,"N",29,0.13178355134895
0,1,"N",30,-0.0384037640282614
0,1,"N",31,0.00686884048814285
0,1,"N",32,-0.7275652235061
0,1,"N",33,0.44301362516556
0,1,"N",34,-0.148732102157037
0,1,"N",35,0.475981156106533
0,1,"N",36,-0.503885085835075
0,1,"N",37,-0.0743051818636134
0,1,"N",38,-0.181005113461297
0,1,"N",39,-0.413093571401749
0,1,"N",40,-0.0254459855912664
0,1,"N",41,0.316779980271642
0,1,"N",42,0.136459755914875
0,1,"N",43,-0.225561246393517
0,1,"N",44,0.487498189178418
0,1,"N",45,0.138764694580509
0,1,"N",46,0.208093061118758
0,1,"N",47,0.561367374326281
0,1,"N",48,0.7567313320896
0,1,"N",49,0.30498552293893
0,1,"N",50,0.579244044032244
0,1,"N",51,-0.00608262588897037
0,1,"N",52,0.448240129818793
0,1,"N",53,-0.466295573811867
0,1,"N",54,0.0243124234956616
0,1,"N",55,0.309724536643956
0,2,"N",0,0.746662327086658
0,2,"N",1,0.322694129938191
0,2,"N",2,0.456581322676051
0,2,"N",3,0.153229549988083
0,2,"N",4,-0.367407490819182
0,2,"N",5,-0.0541965765287791
0,2,"N",6,0.563639721106325
0,2,"N",7,0.0377441514618558
0,2,"N",8,-0.485386944497267
0,2,"N",9,0.213131630937284
0,2,"N",10,-0.452955250556733
0,2,"N",11,0.510233956017309
0,2,"N",12,0.0607735119418437
