round,epoch,layer,neuron,type,weight,value
0,900,0,0,N,0,0.46996006000998103
0,900,0,0,N,1,-0.4869406775793367
0,900,0,0,N,2,0.2986301606891116
0,900,0,0,N,3,0.7955767344041413
0,900,0,0,N,4,0.14888115573695793
0,900,0,0,N,5,-0.07310974071274969
0,900,0,0,N,6,0.1532589781546444
0,900,0,0,N,7,-0.7686045086784494
0,900,0,0,N,8,-0.23787303830164255
0,900,0,0,N,9,-0.2674765525682927
0,900,0,0,N,10,-0.10428877509096161
0,900,0,0,N,11,-0.6762554184391726
0,900,0,0,N,12,0.5971402482433001
0,900,0,0,N,13,0.0586677753431473
0,900,0,0,N,14,-0.09487119411298675
0,900,0,0,N,15,0.07862147879753899
0,900,0,0,N,16,0.5573267797992433
0,900,0,0,N,17,0.37871475996888837
0,900,0,0,N,18,0.22174404335147793
0,900,0,0,N,19,-0.18523515792878686
0,900,0,0,N,20,0.1620921023430952
0,900,0,0,N,21,0.5826218594335166
0,900,0,0,N,22,-0.10926972734917033
0,900,0,0,N,23,-0.009122109760198671
0,900,0,0,N,24,0.3466302343433787
0,900,0,0,N,25,0.06963854363971544
0,900,0,0,N,26,-0.17727189006688027
0,900,0,0,N,27,0.5257267553314446
0,900,0,0,N,28,0.46071274780503796
0,900,0,0,N,29,0.12631154051315915
0,900,0,0,N,30,0.2874275309065155
0,900,0,0,N,31,-0.18402682300061768
0,900,0,0,N,32,0.11356843909015601
0,900,0,0,N,33,-0.5246910196273576
0,900,0,0,N,34,0.46946251423627305
0,900,0,0,N,35,-0.02480600955553492
0,900,0,0,N,36,-0.06018648787901093
0,900,0,0,N,37,-0.007020692892763905
0,900,0,0,N,38,-0.8816950807122508
0,900,0,0,N,39,0.02119603793882463
0,900,0,0,N,40,0.38789632014744246
0,900,0,0,N,41,0.3226138402183924
0,900,0,0,N,42,0.4708478962629659
0,900,0,0,N,43,0.5919864320856647
0,900,0,0,N,44,0.7044655282078985
0,900,0,0,N,45,0.1335264193150404
0,900,0,0,N,46,-0.2881793751885
0,900,0,0,N,47,0.12377922030213866
0,900,0,0,N,48,-0.24349500951516426
0,900,0,0,N,49,-0.6563183264905925
0,900,0,0,N,50,-0.21493673021149853
0,900,0,0,N,51,0.17727010994719347
0,900,0,0,N,52,0.24646853008265213
0,900,0,0,N,53,-0.3874082377837563
0,900,0,0,N,54,0.15042128297406235
0,900,0,0,N,55,0.0680605871894085
0,900,0,1,N,0,-0.4654572444050031
0,900,0,1,N,1,-0.055245727425056936
0,900,0,1,N,2,0.03363169856505613
0,900,0,1,N,3,-0.34642876026026614
0,900,0,1,N,4,0.0064140912576507066
0,900,0,1,N,5,0.3574513713535583
0,900,0,1,N,6,0.2374208079059358
0,900,0,1,N,7,0.6123037076967452
0,900,0,1,N,8,-0.6104422748057574
0,900,0,1,N,9,-0.31618382630469044
0,900,0,1,N,10,0.28036313912332167
0,900,0,1,N,11,0.6644305757001563
0,900,0,1,N,12,-0.9025354726048971
0,900,0,1,N,13,0.5146434352017966
0,900,0,1,N,14,-0.07033813952902966
0,900,0,1,N,15,0.10647517729400617
0,900,0,1,N,16,-0.34704379632486093
0,900,0,1,N,17,0.7146666208486492
0,900,0,1,N,18,-0.031247397182529186
0,900,0,1,N,19,0.16254082365614664
0,900,0,1,N,20,0.6168508672550407
0,900,0,1,N,21,-0.8226776394905512
0,900,0,1,N,22,-0.39354945494178134
0,900,0,1,N,23,0.0765384169010157
0,900,0,1,N,24,-0.11542402395616935
0,900,0,1,N,25,-0.09066754961309742
0,900,0,1,N,26,0.2853921687107348
0,900,0,1,N,27,-0.3809397439830913
0,900,0,1,N,28,-0.7096971362080746
0,900,0,1,N,29,0.5082005949458177
0,900,0,1,N,30,-0.5153596887442203
0,900,0,1,N,31,0.06514919395856489
0,900,0,1,N,32,-0.8433953629952426
0,900,0,1,N,33,0.012996146876119385
0,900,0,1,N,34,-0.48993906001458204
0,900,0,1,N,35,-0.04441063861644898
0,900,0,1,N,36,0.4481765094206866
0,900,0,1,N,37,0.41242277723427206
0,900,0,1,N,38,-0.3772764542578769
0,900,0,1,N,39,0.31356299398881204
0,900,0,1,N,40,-0.10037493380857006
0,900,0,1,N,41,0.042138048003501294
0,900,0,1,N,42,-0.20346718101008018
0,900,0,1,N,43,0.04664347946036059
0,900,0,1,N,44,0.5035383353235934
0,900,0,1,N,45,0.36505700068564995
0,900,0,1,N,46,0.0927435453031789
0,900,0,1,N,47,-0.8322936601736487
0,900,0,1,N,48,0.44612494853136997
0,900,0,1,N,49,0.2075096066886191
0,900,0,1,N,50,0.42334387979136634
0,900,0,1,N,51,0.21037199922148905
0,900,0,1,N,52,-0.4098187860757886
0,900,0,1,N,53,0.05588549305748997
0,900,0,1,N,54,0.4182844227164346
0,900,0,1,N,55,0.1263092479943518
0,900,0,2,N,0,0.0985492676617214
0,900,0,2,N,1,0.08861056998176002
0,900,0,2,N,2,-0.09367398965192605
0,900,0,2,N,3,-0.15444389398971095
0,900,0,2,N,4,-0.02190600977456679
0,900,0,2,N,5,0.3966052435819956
0,900,0,2,N,6,0.4887153209892032
0,900,0,2,N,7,-0.4036817362989477
0,900,0,2,N,8,-0.3358811270445238
0,900,0,2,N,9,0.5434274216070148
0,900,0,2,N,10,-0.16062085349285496
0,900,0,2,N,11,0.7278572817277903
0,900,0,2,N,12,-0.20344956062212521
0,900,0,2,N,13,0.11028606605155541
0,900,0,2,N,14,0.17171735791429324
0,900,0,2,N,15,0.2978906837631565
0,900,0,2,N,16,-0.6332619623146305
0,900,0,2,N,17,-0.16702666747844352
0,900,0,2,N,18,-0.571648939568383
0,900,0,2,N,19,0.0728837685589121
0,900,0,2,N,20,-0.502860154029961
0,900,0,2,N,21,0.1505626616558222
0,900,0,2,N,22,-0.17404584292995331
0,900,0,2,N,23,-0.05902512169017915
0,900,0,2,N,24,-0.06822122520856522
0,900,0,2,N,25,0.6680572764777092
0,900,0,2,N,26,-0.017864131196094868
0,900,0,2,N,27,-0.19065942105596223
0,900,0,2,N,28,-0.37251512800474545
0,900,0,2,N,29,0.7292417152580177
0,900,0,2,N,30,0.16781922098516822
0,900,0,2,N,31,-0.1734100451595102
0,900,0,2,N,32,-0.2722391687287915
0,900,0,2,N,33,0.4753343756388725
0,900,0,2,N,34,0.1937460809955426
0,900,0,2,N,35,0.46982826193887506
0,900,0,2,N,36,-0.2378517006531258
0,900,0,2,N,37,-0.2892445197967513
0,900,0,2,N,38,-0.19219687274122177
0,900,0,2,N,39,-0.29981157908284195
0,900,0,2,N,40,-0.14783112364817438
0,900,0,2,N,41,0.3695194491650052
0,900,0,2,N,42,-0.1733943876501152
0,900,0,2,N,43,-0.3613355343562586
0,900,0,2,N,44,-0.7294634797260309
0,900,0,2,N,45,-0.5042691797334775
0,900,0,2,N,46,-1.066337079227121
0,900,0,2,N,47,0.030291169781969187
0,900,0,2,N,48,-0.1910770340136218
0,900,0,2,N,49,0.28356664129035025
0,900,0,2,N,50,0.5618772689770795
0,900,0,2,N,51,-0.5898385019176197
0,900,0,2,N,52,-0.6737435343899784
0,900,0,2,N,53,-0.5724894004246396
0,900,0,2,N,54,-0.07251814858933851
0,900,0,2,N,55,0.554139697894389
0,900,0,3,N,0,0.3435420038515603
0,900,0,3,N,1,-0.19863707324541646
0,900,0,3,N,2,-0.6909233295859397
0,900,0,3,N,3,-0.19216614248038846
0,900,0,3,N,4,-0.20793328853258722
0,900,0,3,N,5,-0.17311344731987924
0,900,0,3,N,6,-7.927344583825596E-4
0,900,0,3,N,7,-0.6048044982849023
0,900,0,3,N,8,-0.10755587333931178
0,900,0,3,N,9,-0.19149531552247642
0,900,0,3,N,10,0.16561518564706693
0,900,0,3,N,11,0.4728592538899269
0,900,0,3,N,12,0.18506320682520808
0,900,0,3,N,13,0.6537764996076796
0,900,0,3,N,14,0.1400949408815693
0,900,0,3,N,15,-0.011143733773093247
0,900,0,3,N,16,-0.04431217614456662
0,900,0,3,N,17,0.4382825606770704
0,900,0,3,N,18,0.5394273764614994
0,900,0,3,N,19,0.672698303700143
0,900,0,3,N,20,-0.2357438537064746
0,900,0,3,N,21,0.02785832624010127
0,900,0,3,N,22,-0.1138405112361499
0,900,0,3,N,23,0.9261599745259604
0,900,0,3,N,24,0.6500608385976527
0,900,0,3,N,25,0.10340935537059182
0,900,0,3,N,26,-0.4911307404674984
0,900,0,3,N,27,0.8570998509052519
0,900,0,3,N,28,-0.833750545388564
0,900,0,3,N,29,-0.26410653066846185
0,900,0,3,N,30,-0.23263213744824596
0,900,0,3,N,31,0.2878182459168407
0,900,0,3,N,32,-0.242683889831258
0,900,0,3,N,33,-0.6682543315550646
0,900,0,3,N,34,-0.57285534689167
0,900,0,3,N,35,0.043041537859211096
0,900,0,3,N,36,-0.030596977657154117
0,900,0,3,N,37,-0.2787210651765895
0,900,0,3,N,38,0.33274253885248994
0,900,0,3,N,39,-0.3755582000661516
0,900,0,3,N,40,0.7069261726723931
0,900,0,3,N,41,0.8535954680851754
0,900,0,3,N,42,0.9452795223202145
0,900,0,3,N,43,-0.368749379172178
0,900,0,3,N,44,-0.1528558832307979
0,900,0,3,N,45,-0.09628174368470654
0,900,0,3,N,46,-0.5775825778394059
0,900,0,3,N,47,0.10996814488911633
0,900,0,3,N,48,0.29538691717077137
0,900,0,3,N,49,0.1689094106247819
0,900,0,3,N,50,0.2766130577608209
0,900,0,3,N,51,-0.5277615029814635
0,900,0,3,N,52,-0.10745911091942885
0,900,0,3,N,53,-0.6594751200895218
0,900,0,3,N,54,-0.2284497971210799
0,900,0,3,N,55,0.22384380923698102
0,900,0,4,N,0,-0.13807262253065547
0,900,0,4,N,1,0.5029908045172626
0,900,0,4,N,2,-0.765791804580884
0,900,0,4,N,3,0.07023809635682544
0,900,0,4,N,4,0.09223962662709725
0,900,0,4,N,5,-0.12553959933339087
0,900,0,4,N,6,-0.2410567659320896
0,900,0,4,N,7,-0.06353510164572147
0,900,0,4,N,8,0.40980257677999377
0,900,0,4,N,9,0.8590515156194666
0,900,0,4,N,10,-0.22941922398115547
0,900,0,4,N,11,0.5626265942105424
0,900,0,4,N,12,-0.7788142126518189
0,900,0,4,N,13,0.39930532443560235
0,900,0,4,N,14,0.13120471864191768
0,900,0,4,N,15,0.1500348813278364
0,900,0,4,N,16,0.15788824900579468
0,900,0,4,N,17,-0.27829733764344056
0,900,0,4,N,18,0.07551955559505034
0,900,0,4,N,19,-0.6251753972602012
0,900,0,4,N,20,-0.4525117298808168
0,900,0,4,N,21,-0.16372518668409292
0,900,0,4,N,22,0.6165663920100938
0,900,0,4,N,23,0.7320848994950712
0,900,0,4,N,24,0.16140575126904566
0,900,0,4,N,25,0.44913393351926256
0,900,0,4,N,26,-0.17705487830306965
0,900,0,4,N,27,0.6731969412196286
0,900,0,4,N,28,-0.14821329553037538
0,900,0,4,N,29,0.002083121792554118
0,900,0,4,N,30,0.06898621596382948
0,900,0,4,N,31,-0.3307034809698082
0,900,0,4,N,32,-0.033795743684117974
0,900,0,4,N,33,-0.09001143332060468
0,900,0,4,N,34,0.38850199063362495
0,900,0,4,N,35,0.17744676373265145
0,900,0,4,N,36,-0.11491156066352391
0,900,0,4,N,37,0.8469708759369132
0,900,0,4,N,38,0.1124077931012819
0,900,0,4,N,39,-0.23168049538993107
