round,epoch,layer,neuron,type,weight,value
0,900,0,0,N,0,-0.32736111562351267
0,900,0,0,N,1,0.21967107678671044
0,900,0,0,N,2,-0.5676616129293128
0,900,0,0,N,3,0.04180626507421993
0,900,0,0,N,4,0.23128867257613844
0,900,0,0,N,5,0.5351024816306604
0,900,0,0,N,6,0.014367597477882812
0,900,0,0,N,7,0.5798064749748919
0,900,0,0,N,8,0.5521351251338692
0,900,0,0,N,9,-0.5881202737454257
0,900,0,0,N,10,-0.45691446701093863
0,900,0,0,N,11,0.19316918622358303
0,900,0,0,N,12,0.30696010854889155
0,900,0,0,N,13,-0.32287918651308456
0,900,0,0,N,14,0.12353932954700612
0,900,0,0,N,15,-0.1627054274089817
0,900,0,0,N,16,-0.34866417514340997
0,900,0,0,N,17,0.12805409025839914
0,900,0,0,N,18,-0.06837877288984184
0,900,0,0,N,19,0.23877519195665972
0,900,0,0,N,20,-0.3285324389727535
0,900,0,0,N,21,-0.3137582777062479
0,900,0,0,N,22,0.02749908752645771
0,900,0,0,N,23,0.8191679098890318
0,900,0,0,N,24,0.0024494311868610286
0,900,0,0,N,25,0.20717854657438406
0,900,0,0,N,26,0.11003972550315244
0,900,0,0,N,27,0.5761913916777665
0,900,0,0,N,28,0.11341674739545894
0,900,0,0,N,29,0.24768077108950395
0,900,0,0,N,30,0.25849575546567616
0,900,0,0,N,31,-0.12164115923169372
0,900,0,0,N,32,0.02968025458744894
0,900,0,0,N,33,-0.4840389169614869
0,900,0,0,N,34,0.7087339534064638
0,900,0,0,N,35,-0.41329010578805525
0,900,0,0,N,36,0.23878577948759372
0,900,0,0,N,37,0.4738496274935728
0,900,0,0,N,38,-0.41751424700610107
0,900,0,0,N,39,0.1301672043551706
0,900,0,0,N,40,0.39077508099809244
0,900,0,0,N,41,0.8841640812885957
0,900,0,0,N,42,-0.47787451062720937
0,900,0,0,N,43,0.21402293934613328
0,900,0,0,N,44,0.5137391576901317
0,900,0,0,N,45,-0.013616738253840093
0,900,0,0,N,46,-0.29048683334435293
0,900,0,0,N,47,-0.4673227099323686
0,900,0,0,N,48,-0.3700367666119775
0,900,0,0,N,49,0.19902423369393293
0,900,0,0,N,50,-0.24814491245401846
0,900,0,0,N,51,0.20529326502411074
0,900,0,0,N,52,-0.3305289325309053
0,900,0,0,N,53,-0.32119305218918065
0,900,0,0,N,54,-0.5962109853256519
0,900,0,0,N,55,0.3946838732165233
0,900,0,1,N,0,0.14953775778945877
0,900,0,1,N,1,-0.21162384903695444
0,900,0,1,N,2,0.0303380628029054
0,900,0,1,N,3,0.8633728687437837
0,900,0,1,N,4,-0.045057235595424266
0,900,0,1,N,5,-0.48433820721023957
0,900,0,1,N,6,-0.36647202591677597
0,900,0,1,N,7,0.3500347929000925
0,900,0,1,N,8,0.5619197660449547
0,900,0,1,N,9,-0.3051722663761187
0,900,0,1,N,10,-0.2202425285092943
0,900,0,1,N,11,0.26136259235897996
0,900,0,1,N,12,-0.22817469150375513
0,900,0,1,N,13,0.2901420209637995
0,900,0,1,N,14,0.11239354892110053
0,900,0,1,N,15,0.5748956882359295
0,900,0,1,N,16,-0.0687038293121205
0,900,0,1,N,17,0.5894275356990584
0,900,0,1,N,18,-0.1419135916010758
0,900,0,1,N,19,0.12426137982006843
0,900,0,1,N,20,-0.34395856094395194
